	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu10561	0	2	0	1	1	4	2	1	0	1	0	1	1	1	0	0	1	2	1	0	1	0	4	2
Zotu3282	4	2	2	6	4	1	2	3	2	0	0	0	2	4	0	0	0	4	2	0	0	1	0	0
Zotu11807	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0
Zotu15246	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu7434	0	1	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	3	0	0	2	0	0
Zotu1014	3	3	4	5	2	1	2	11	6	14	15	8	3	7	0	11	4	7	4	3	4	9	2	1
Zotu6270	1	1	1	1	2	1	0	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0
Zotu9850	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Zotu18235	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7373	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	3
Zotu5104	0	0	0	1	0	0	1	2	0	0	0	5	1	0	0	2	2	0	0	7	1	0	0	0
Zotu9868	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu1987	1	2	1	21	1	2	3	2	0	1	6	3	2	3	0	0	3	3	0	4	0	0	1	2
Zotu12195	0	0	0	0	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0
Zotu16389	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu12988	1	2	1	0	0	0	2	3	0	0	2	2	0	4	2	0	0	0	0	0	0	1	0	0
Zotu12151	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	1
Zotu17098	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0
Zotu1779	0	1	0	0	12	4	11	2	0	0	0	0	0	0	0	0	1	0	0	5	14	0	6	15
