	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu16482	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Zotu1145	11	6	4	9	12	8	6	14	4	1	2	4	2	4	0	2	1	5	7	2	1	4	0	0
Zotu264	4	4	26	3	4	17	6	16	3	5	15	15	6	4	0	17	2	7	66	25	5	13	7	13
Zotu2847	49	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Zotu2204	9	5	4	1	4	1	2	3	0	0	0	0	0	0	0	0	5	1	3	1	0	2	0	2
Zotu901	8	13	4	6	4	12	9	4	0	4	2	1	6	3	3	2	4	2	12	2	2	6	1	1
Zotu2022	7	1	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	3	1
Zotu270	17	17	17	11	12	10	25	11	20	27	33	17	14	16	22	10	10	14	30	7	5	14	2	6
Zotu140	30	17	20	33	21	17	30	16	35	24	12	35	15	33	16	32	19	28	29	25	13	20	19	18
Zotu7641	1	2	1	1	3	1	0	3	2	0	0	0	2	0	0	0	1	0	2	1	3	0	6	2
Zotu1746	4	0	2	4	0	3	1	3	0	2	5	1	2	3	4	3	5	3	6	4	5	1	4	2
Zotu1959	59	2	0	12	11	2	0	16	1	0	3	6	4	3	1	3	4	2	2	6	1	3	0	0
Zotu46	16	32	22	72	25	55	10	38	34	4	38	54	82	16	28	76	40	39	36	29	61	21	89	51
Zotu28	62	63	20	38	64	68	23	75	23	8	5	28	86	46	41	101	48	58	14	118	118	44	214	74
Zotu148	5	10	13	16	8	21	13	13	15	8	22	21	19	10	14	27	16	17	17	11	24	13	41	36
Zotu1175	10	7	2	4	15	3	0	3	1	0	1	4	1	2	0	0	5	9	4	6	4	6	1	1
Zotu7	111	245	198	212	189	292	243	103	218	263	196	228	151	181	149	160	211	157	215	120	165	109	206	151
Zotu3759	6	1	3	2	1	1	0	1	3	0	0	0	1	0	1	4	5	0	1	5	0	0	1	0
Zotu329	11	7	8	9	12	12	2	13	17	12	23	21	15	12	7	22	13	14	11	16	5	12	9	11
Zotu8627	6	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	2	0	1	4	2	2	0	0
Zotu93	23	29	29	35	23	45	33	25	34	29	43	49	42	32	16	34	22	43	31	43	31	37	8	42
Zotu1859	13	8	8	2	2	4	3	13	0	1	2	1	1	1	0	0	1	0	6	0	1	1	0	2
Zotu30	61	47	116	92	82	69	71	63	67	95	48	83	97	38	51	50	66	106	49	96	72	84	54	84
Zotu6828	5	4	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Zotu10096	2	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu22	50	48	20	111	87	72	61	46	171	87	178	151	69	108	82	131	44	49	56	30	162	33	33	93
Zotu961	3	8	12	2	3	6	4	1	2	17	6	4	1	3	28	7	3	2	4	1	0	1	0	1
Zotu2133	3	1	1	3	2	4	0	6	4	1	0	3	0	0	0	2	3	5	3	11	1	3	0	4
Zotu303	14	11	19	17	18	8	23	7	7	21	12	12	13	14	13	18	13	21	17	14	19	23	8	4
Zotu3	1065	509	348	695	1081	489	162	518	297	367	617	595	680	470	73	394	643	765	327	668	147	354	54	229
Zotu1204	4	3	3	9	7	2	3	1	0	0	2	0	0	0	4	0	3	0	2	1	22	0	10	4
Zotu15	100	42	20	78	105	127	35	96	64	5	27	41	108	34	93	105	87	111	40	133	160	35	199	111
Zotu1167	56	2	3	35	3	0	0	17	1	0	0	0	0	3	0	0	0	0	1	0	0	25	0	0
Zotu10471	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0
Zotu7808	7	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Zotu73	85	29	33	39	29	20	3	37	10	5	11	18	12	3	6	18	17	19	4	13	46	1	2	8
Zotu2219	3	2	1	4	3	1	0	3	5	0	0	2	2	3	3	2	1	2	2	1	3	0	2	4
Zotu136	457	152	28	41	33	29	4	41	14	12	6	47	35	2	6	8	30	42	22	39	30	20	24	33
Zotu1314	2	1	4	3	1	0	1	1	3	2	11	5	4	8	2	7	1	1	1	1	0	3	1	5
Zotu154	12	15	15	30	8	32	12	17	11	5	5	18	13	20	20	20	18	17	23	7	54	9	53	31
Zotu16749	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1773	8	2	5	8	6	11	2	4	0	1	2	4	1	0	2	3	8	4	1	1	1	4	1	1
Zotu650	5	3	7	5	14	21	14	5	8	9	12	12	5	10	4	9	8	7	5	6	9	10	7	7
Zotu3487	3	1	1	0	10	2	1	3	1	3	0	0	6	0	0	2	1	0	0	2	1	0	5	0
Zotu1132	5	8	5	9	4	2	5	4	1	9	10	9	2	4	4	8	2	6	4	3	2	10	1	4
Zotu145	77	48	6	12	483	9	13	3	20	7	22	18	17	22	0	1	5	19	3	0	0	1	0	0
Zotu234	11	6	13	18	15	10	4	14	4	7	7	12	33	8	4	8	25	19	9	6	32	3	68	21
Zotu74	35	39	26	23	31	13	42	29	46	36	97	42	63	68	15	53	34	23	38	30	8	41	13	25
Zotu905	3	5	4	6	5	3	0	20	5	3	2	6	14	4	1	11	7	4	3	3	11	8	0	5
Zotu459	27	5	10	13	9	9	3	22	9	2	0	9	17	8	2	18	5	9	4	17	17	3	5	14
Zotu4895	6	1	0	0	0	1	1	1	3	1	0	0	0	2	7	0	0	0	2	0	0	0	0	0
Zotu34	54	65	36	47	80	82	29	63	52	38	31	51	87	42	33	65	96	100	45	86	78	35	96	91
Zotu12417	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2205	6	2	2	3	2	2	3	0	0	0	0	0	3	0	0	0	2	7	10	1	0	3	0	1
Zotu4721	6	2	1	3	1	0	3	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1
Zotu966	6	4	5	3	2	3	4	4	2	0	1	2	9	7	6	5	6	6	3	7	27	0	9	5
Zotu2689	22	6	2	4	1	1	0	3	0	0	0	1	0	0	3	0	0	0	0	2	2	0	0	0
Zotu14587	6	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	188	128	48	105	309	81	45	151	106	10	39	57	127	21	103	62	359	145	53	186	197	46	1149	243
Zotu14671	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Zotu3648	4	8	8	7	1	2	4	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0
Zotu7092	2	3	1	2	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Zotu14595	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu5555	4	1	3	1	0	1	0	0	0	0	0	2	0	0	0	0	3	4	2	6	0	2	0	0
Zotu95	9	6	7	25	19	26	38	17	49	40	34	71	35	30	14	40	14	15	20	22	9	12	3	20
Zotu3731	5	1	0	0	1	1	0	0	0	0	3	5	1	0	0	3	0	2	2	0	3	0	0	3
Zotu36	73	54	58	67	68	74	25	60	57	53	100	76	109	26	81	85	56	45	45	61	57	40	77	34
Zotu6	182	71	85	140	145	82	153	134	75	15	37	40	274	43	260	147	97	91	45	185	472	38	906	159
Zotu4503	2	2	0	4	3	3	1	2	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	2
Zotu4406	6	12	4	0	4	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	3	1	0
Zotu2	429	398	145	330	510	567	179	631	214	265	210	471	975	503	618	1081	646	770	248	1665	1624	564	699	844
Zotu8557	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	2	0	0	0	0	0	0	0	0
Zotu8	217	147	115	133	271	125	103	135	142	109	85	156	248	188	93	311	143	228	115	213	161	236	136	167
Zotu497	12	0	1	0	1	12	1	1	1	14	11	0	8	15	0	19	7	5	1	5	1	39	4	9
Zotu1592	4	0	0	5	5	3	3	1	0	0	0	0	3	0	2	0	4	0	0	2	10	2	9	7
Zotu29	61	64	101	30	34	219	20	192	19	104	48	77	25	43	5	103	65	70	115	127	40	404	28	60
Zotu4652	7	0	0	0	0	3	0	5	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0
Zotu6495	1	0	3	1	2	0	0	0	1	0	0	2	1	0	0	2	0	0	0	1	0	1	0	0
Zotu213	21	6	3	6	5	3	0	40	13	1	3	9	14	7	2	18	30	10	2	20	21	6	5	18
Zotu75	47	28	30	22	60	7	49	38	106	29	278	101	20	35	27	97	15	72	19	41	0	63	2	10
Zotu56	58	52	71	55	52	56	26	56	47	3	15	22	34	9	15	12	51	98	30	35	40	18	113	70
Zotu106	5	4	3	2	6	4	8	4	248	71	108	124	40	34	15	9	2	3	2	0	9	1	1	156
Zotu15971	7	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu82	98	11	37	11	13	25	8	21	3	15	27	5	17	14	82	12	15	15	30	21	9	10	8	18
Zotu6834	1	1	0	0	0	0	7	0	0	0	0	0	8	1	2	0	0	2	1	1	0	1	0	1
Zotu5135	13	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	7	12	0	0	0	0
Zotu152	11	10	13	8	14	5	7	9	17	29	20	31	38	33	6	50	13	40	40	23	14	41	1	36
Zotu155	21	14	16	21	19	15	12	25	19	14	5	9	21	14	8	23	25	23	29	19	42	20	35	29
Zotu108	17	20	3	5	22	29	3	54	1	18	0	7	28	21	1	12	59	84	8	170	33	81	1	24
Zotu2627	8	1	0	2	5	0	0	0	0	0	0	0	1	0	1	0	0	2	16	0	0	0	0	0
Zotu2680	1	2	0	1	1	0	13	1	0	14	4	1	2	4	0	1	0	0	0	0	0	1	0	0
Zotu1156	11	17	11	4	3	2	8	4	2	2	1	1	0	2	21	0	0	5	2	0	0	6	0	0
Zotu2649	2	3	1	1	1	2	1	2	1	0	1	2	0	0	0	1	2	1	1	6	5	1	3	4
Zotu691	6	5	1	0	10	5	3	4	8	5	1	6	28	7	1	7	9	3	4	8	3	11	2	4
Zotu1205	18	9	4	3	3	3	1	61	2	0	2	0	1	0	1	1	2	2	7	1	2	2	1	4
Zotu4612	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	3	1
Zotu668	9	12	24	6	10	1	2	5	6	0	8	7	8	2	3	6	11	5	4	7	0	4	4	3
Zotu2020	4	3	5	1	6	0	8	2	2	1	0	1	2	3	12	2	0	2	2	1	0	2	0	1
Zotu11034	4	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0
Zotu1007	6	6	4	17	9	3	8	6	4	2	1	6	0	0	1	1	4	5	7	0	1	3	2	0
Zotu724	4	2	2	33	0	1	7	0	1	24	0	0	4	43	20	3	8	0	4	17	0	4	1	3
Zotu1525	70	5	1	5	8	1	3	12	7	2	3	1	1	3	0	1	1	1	0	0	0	2	0	0
Zotu1723	2	3	5	6	11	9	2	10	3	0	3	0	0	2	0	1	2	1	1	1	0	2	1	0
Zotu1239	12	15	1	6	7	1	4	6	12	3	1	3	1	3	3	1	0	0	0	0	0	33	0	0
Zotu4231	1	4	2	2	0	1	2	4	1	1	2	1	2	0	1	1	2	2	1	0	0	1	0	0
Zotu1668	4	0	0	3	7	3	2	0	3	1	0	5	5	2	0	4	4	2	3	4	4	6	0	1
Zotu5329	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	5	0	0	1	1	0	0	0
Zotu79	134	59	108	124	46	105	33	45	24	14	19	16	13	13	8	7	26	27	70	14	12	27	9	3
Zotu5914	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	5
Zotu1114	18	16	14	11	4	5	6	3	6	1	2	1	3	2	2	2	0	2	5	0	0	7	6	4
Zotu956	14	13	16	5	9	2	1	5	8	0	2	4	7	2	1	1	9	3	6	2	3	2	0	0
Zotu434	18	17	12	15	11	17	21	8	4	2	2	8	4	2	2	4	6	10	5	4	8	21	0	6
Zotu617	11	2	3	6	10	4	8	8	8	2	5	8	16	4	2	6	7	5	4	5	8	3	0	4
Zotu14472	3	0	1	0	0	0	1	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Zotu14594	8	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Zotu833	4	3	0	7	5	6	2	10	10	0	0	5	8	1	1	3	9	11	5	9	5	14	7	14
Zotu7119	3	0	1	0	0	0	3	1	1	0	1	0	0	7	7	2	0	0	0	0	0	1	0	0
Zotu476	15	10	7	12	6	4	7	9	16	34	9	28	10	16	0	17	9	13	11	4	0	2	0	3
Zotu1596	11	5	2	1	8	8	0	4	0	1	0	0	7	2	0	0	3	4	15	4	0	2	0	1
Zotu275	39	19	37	28	29	16	14	35	6	9	20	9	11	10	5	26	23	20	9	25	5	6	14	23
Zotu5739	1	1	7	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	2	16	2
Zotu4077	1	0	3	1	4	0	0	2	1	0	0	0	0	0	2	1	7	3	7	1	0	1	0	3
Zotu8016	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0
Zotu124	7	13	14	12	16	4	20	17	25	41	40	30	18	62	16	61	10	24	28	24	6	18	4	7
Zotu47	24	27	56	10	13	82	10	64	6	36	81	51	14	24	12	52	22	47	299	78	16	175	20	35
Zotu13300	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu1013	8	7	12	10	11	9	9	8	2	0	0	0	2	2	1	1	3	5	4	2	1	2	0	0
Zotu5904	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	1
Zotu1895	4	6	10	5	11	11	4	2	8	12	11	4	4	2	2	5	7	2	8	1	0	7	4	1
Zotu50	54	53	63	51	62	43	24	47	54	34	67	66	58	45	29	66	107	63	57	56	62	30	30	32
Zotu1902	1	5	0	2	1	1	0	2	2	0	0	5	0	3	1	11	7	5	0	13	0	11	1	3
Zotu2196	4	1	1	0	0	9	0	1	1	4	2	1	3	1	0	3	1	1	3	1	0	0	1	1
Zotu3621	4	1	1	2	1	0	0	1	0	0	1	4	4	1	1	2	2	0	0	2	2	0	1	0
Zotu37	49	50	18	30	77	59	24	54	40	33	31	62	95	51	51	63	119	89	70	104	182	52	72	112
Zotu755	7	16	12	6	5	2	7	6	4	7	15	11	7	5	8	9	4	7	11	1	2	5	4	9
Zotu251	13	10	6	9	7	3	14	23	11	31	17	26	28	13	5	10	11	9	17	4	0	5	1	7
Zotu8076	2	1	0	1	1	0	0	0	0	1	0	3	0	0	1	1	1	2	1	1	0	0	0	1
Zotu60	98	85	33	80	83	97	40	60	6	0	0	3	29	9	18	3	73	41	39	8	71	47	49	55
Zotu13781	2	0	0	0	0	1	0	0	1	0	0	0	2	0	3	0	1	0	0	1	0	0	0	1
Zotu3102	6	1	1	1	4	3	1	2	3	2	1	1	1	0	0	1	1	1	5	0	0	0	0	0
Zotu70	75	61	16	39	29	67	7	55	11	2	2	11	28	7	13	12	77	54	9	123	60	38	101	76
Zotu11967	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
Zotu2505	0	0	0	0	0	4	11	0	0	4	0	0	1	2	0	8	1	14	0	0	0	4	0	0
Zotu4415	2	3	0	5	2	0	3	1	0	2	0	0	0	0	0	1	0	0	0	0	0	4	0	0
Zotu159	11	25	20	24	25	32	38	18	27	39	11	13	11	25	9	15	24	17	23	10	7	23	14	7
Zotu2336	2	2	4	4	2	3	6	6	3	1	1	2	2	1	5	1	0	1	1	1	0	0	0	2
Zotu5966	0	0	2	0	1	0	1	0	1	0	0	0	1	2	0	6	0	1	0	2	0	1	0	0
Zotu902	2	5	12	0	1	6	1	4	2	7	9	4	0	3	0	2	3	4	55	7	0	28	4	7
Zotu5642	2	0	0	2	1	1	0	0	1	4	0	1	1	0	2	1	0	0	0	0	0	1	0	0
Zotu3746	2	1	0	0	1	1	1	3	2	0	0	0	1	0	1	0	0	0	0	1	2	0	1	1
Zotu5891	1	2	0	1	2	0	1	0	1	2	0	1	2	2	0	0	1	1	1	1	0	2	0	0
Zotu360	6	3	15	12	12	16	5	11	21	8	13	6	8	13	1	14	14	5	14	8	4	8	4	2
Zotu5335	1	3	2	1	0	3	1	0	1	0	0	0	0	0	0	0	1	2	2	1	1	0	0	0
Zotu567	4	14	6	2	3	2	20	5	15	18	14	8	3	9	8	8	11	9	11	1	3	6	1	1
Zotu5074	2	1	3	1	0	2	0	4	0	2	0	0	0	1	0	0	4	2	0	6	0	1	0	0
Zotu11284	1	1	1	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
Zotu1273	7	7	1	8	7	6	4	3	1	0	0	0	3	0	1	0	4	2	2	1	0	0	2	3
Zotu252	14	20	23	19	16	12	16	5	19	11	26	20	10	6	4	9	16	24	18	7	7	10	4	12
Zotu1	345	353	1193	185	389	651	167	1117	131	287	1251	518	209	142	77	818	457	345	1572	1153	263	700	292	588
Zotu17835	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu38	73	86	94	57	88	51	120	29	102	63	61	87	42	58	51	73	58	86	102	34	17	95	5	19
Zotu9998	3	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Zotu407	14	8	15	11	1	13	12	8	7	2	0	0	6	36	13	1	17	3	0	6	0	6	7	0
Zotu5503	1	1	0	0	1	1	1	2	0	0	0	1	1	0	0	1	2	1	3	0	0	1	0	1
Zotu599	5	30	1	6	1	10	1	0	4	2	0	3	12	3	2	1	4	2	10	1	9	2	1	1
Zotu294	11	9	20	8	22	10	33	19	8	38	8	7	8	27	16	6	17	7	8	11	2	14	2	10
Zotu83	54	6	37	20	24	7	6	49	38	6	7	15	46	18	29	58	43	43	21	26	47	31	60	39
Zotu6964	3	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	2	1	1	1	0	1	0	0
Zotu2693	5	2	8	3	2	2	6	0	2	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0
Zotu3736	3	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	5	1	0	0	0	2	0	0
Zotu5063	4	0	2	0	1	1	4	1	2	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0
Zotu3582	3	1	2	0	1	0	0	0	5	0	1	0	1	0	1	0	1	2	8	0	0	1	0	0
Zotu219	9	13	4	10	13	16	4	16	8	4	2	3	17	8	6	10	18	21	12	22	37	10	27	29
Zotu1176	4	6	8	4	4	7	2	3	5	3	6	10	4	6	1	7	11	12	5	2	3	5	1	2
Zotu7206	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	1	1	1	0	0	1	1
Zotu245	12	20	9	16	12	12	4	26	13	6	6	19	11	11	5	11	20	24	13	25	11	20	7	10
Zotu6056	0	0	1	2	0	1	0	0	0	0	1	0	6	0	0	0	0	0	2	0	0	0	1	0
Zotu100	28	28	58	38	30	20	15	17	47	46	58	56	23	34	16	30	26	24	32	27	8	20	15	13
Zotu372	11	12	10	14	26	10	57	11	12	17	13	12	6	16	33	5	19	6	20	3	3	16	2	7
Zotu10714	4	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0
Zotu25	143	41	36	70	101	45	53	36	42	7	41	6	82	6	164	18	228	39	15	23	174	27	421	58
Zotu1192	28	5	2	23	4	6	2	2	1	1	0	1	1	0	1	0	2	3	14	0	16	3	0	1
Zotu5127	1	1	0	1	0	2	0	2	0	2	0	0	1	3	2	2	3	0	3	1	0	0	0	2
Zotu10498	3	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Zotu10	242	230	119	156	145	189	42	266	68	73	177	242	153	146	65	181	203	257	150	275	62	104	37	169
Zotu10576	2	1	0	1	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0
Zotu6637	0	0	0	2	0	0	0	0	2	0	1	2	0	0	0	0	1	1	0	0	2	2	0	0
Zotu3292	3	3	3	2	5	0	2	0	7	1	1	0	0	0	6	0	0	0	1	0	0	4	0	0
Zotu116	63	34	43	32	65	7	11	8	12	10	125	21	14	19	8	10	7	20	74	15	1	9	2	0
Zotu14331	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Zotu15009	1	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu3056	2	1	3	3	3	2	2	1	3	7	2	5	2	2	2	1	0	0	1	0	1	4	0	0
Zotu7130	3	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	3	0	1
Zotu69	33	44	8	33	52	38	25	30	33	0	0	7	18	2	24	21	24	55	27	46	180	17	102	91
Zotu190	13	7	5	8	28	5	13	24	34	6	3	27	21	8	9	22	21	18	7	48	49	6	27	38
Zotu7768	4	2	2	1	0	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0
Zotu4289	1	3	6	0	0	1	1	3	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
Zotu795	2	2	1	1	6	2	9	3	3	0	2	2	7	2	5	3	7	3	1	7	26	0	41	20
Zotu500	8	11	14	14	6	7	13	4	6	7	11	4	3	7	13	21	5	2	4	7	1	20	2	3
Zotu664	4	8	12	12	2	8	2	11	1	1	1	7	2	6	1	6	17	20	14	21	0	16	3	16
Zotu16	80	109	78	91	95	140	47	124	110	93	49	175	106	116	71	152	145	148	102	184	184	172	119	174
Zotu1996	1	1	0	0	1	5	0	3	5	1	0	2	3	1	1	1	1	1	1	0	2	2	18	4
Zotu377	20	13	10	21	6	19	3	10	9	9	8	12	25	8	1	13	12	12	16	7	8	6	1	8
Zotu496	6	4	2	5	10	10	15	10	6	0	1	2	3	1	7	0	13	7	4	9	18	0	17	29
Zotu4250	7	0	1	1	0	2	1	2	0	0	0	1	1	1	0	0	5	1	0	0	0	1	0	0
Zotu212	56	25	19	13	67	11	5	14	10	4	1	9	33	8	2	17	16	26	34	8	122	19	1	8
Zotu6492	3	1	1	4	1	1	4	1	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
Zotu13087	1	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1
Zotu3249	2	2	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0
Zotu4901	2	2	1	2	1	2	3	0	1	2	2	1	0	3	0	5	0	1	2	0	0	0	0	0
Zotu644	2	2	0	0	10	3	1	30	3	13	2	12	1	8	2	5	1	3	13	9	0	1	1	10
Zotu1402	10	6	10	3	8	1	3	4	2	0	0	1	2	3	2	4	1	7	2	7	7	7	0	1
Zotu1444	7	1	11	4	1	5	2	3	5	3	1	2	6	3	5	8	0	0	1	1	0	8	1	1
Zotu2586	4	1	0	3	0	3	1	0	0	2	0	1	0	0	1	0	3	7	1	0	0	1	2	0
Zotu14627	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Zotu2068	2	0	2	1	2	7	10	1	1	1	0	2	2	7	12	2	1	0	0	5	0	0	0	1
Zotu5371	7	3	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu5332	6	4	2	1	3	1	2	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
Zotu319	12	17	28	25	9	5	39	7	13	19	39	13	4	26	43	4	16	15	6	2	1	4	0	2
Zotu7944	0	1	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0
Zotu280	60	2	14	1	3	0	0	4	5	3	45	10	15	5	0	11	31	14	32	17	1	0	1	1
Zotu1137	3	1	4	3	2	2	3	2	0	10	9	8	3	1	0	4	2	5	4	1	0	4	3	3
Zotu2421	2	2	1	3	4	2	2	1	0	4	4	1	0	1	1	2	1	2	6	5	0	3	0	0
Zotu676	5	13	11	8	11	6	6	3	14	19	7	10	8	22	7	14	3	5	4	9	0	8	0	2
Zotu3452	1	3	1	1	3	0	3	1	2	0	3	0	2	1	1	4	0	4	0	2	1	1	4	3
Zotu807	21	5	2	15	7	5	1	9	0	0	1	1	0	1	0	1	3	7	7	5	0	0	1	10
Zotu1801	0	1	1	2	1	1	2	3	3	0	1	1	2	0	2	2	5	1	0	1	6	1	8	3
Zotu1018	5	7	8	7	9	11	0	5	6	6	9	19	5	9	4	8	5	11	8	5	3	5	5	9
Zotu4065	0	2	0	0	0	0	2	3	2	0	5	3	1	1	0	4	3	1	3	1	0	0	0	0
Zotu953	16	9	7	8	15	3	4	15	4	4	8	4	6	7	0	6	2	4	3	1	1	7	1	0
Zotu3860	0	0	1	1	0	3	1	0	3	3	0	3	1	1	0	0	0	0	0	0	0	31	0	0
Zotu2090	4	8	4	2	1	1	2	0	4	3	4	3	0	4	2	0	0	3	0	0	1	0	3	0
Zotu66	20	16	9	24	35	23	22	20	55	17	20	23	86	35	37	33	42	39	20	27	79	26	71	112
Zotu5997	2	2	1	0	0	1	4	0	0	2	0	1	1	0	0	1	0	0	0	1	0	1	0	0
Zotu927	0	10	8	8	2	4	47	14	1	10	7	15	1	9	3	10	0	4	0	1	1	5	0	0
Zotu15315	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu92	21	31	25	28	30	34	19	25	25	16	30	42	27	22	17	41	37	36	30	44	53	36	48	41
Zotu5377	4	2	1	0	2	0	2	1	0	1	1	1	0	0	0	0	0	0	8	0	0	2	0	0
Zotu13174	1	0	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Zotu77	23	42	19	25	25	23	21	27	43	32	27	37	44	46	25	52	35	46	29	69	49	52	12	24
Zotu11083	0	0	1	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	6	0	0	0
Zotu2722	9	2	5	4	6	2	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu1656	3	2	2	3	2	7	2	2	0	4	1	2	0	1	0	2	5	4	2	5	2	0	5	2
Zotu738	9	5	9	4	7	13	6	8	5	6	1	5	0	0	7	1	7	3	5	2	1	4	1	8
Zotu165	16	21	28	15	23	15	39	14	24	34	8	21	10	12	29	10	6	9	11	9	4	99	0	8
Zotu2422	15	0	0	2	1	3	0	0	0	0	0	0	1	0	0	1	16	3	2	0	2	3	0	1
Zotu6668	6	2	1	1	1	0	0	2	2	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0
Zotu44	84	40	28	70	83	71	12	115	28	15	17	54	128	41	13	49	80	101	27	99	148	44	7	86
Zotu681	3	3	0	11	3	9	1	2	3	2	4	9	7	5	10	4	7	11	1	3	7	4	5	10
Zotu16465	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	5	0	0	0	0
Zotu4751	1	2	0	1	4	2	1	2	2	0	0	0	1	0	0	0	1	1	0	1	3	2	7	2
