,X09_11S_N_C_0,X09_13S_N_C_0,X09_19S_N_C_1,X09_23S_N_C_1,X09_24S_N_C_0,X09_3S_N_C_1,X09_6S_N_C_1,X09_8S_N_C_0,X10_11N_N_N_0,X10_13N_N_N_0,X10_19N_N_N_1,X10_23N_N_N_1,X10_24N_N_N_0,X10_3N_N_N_1,X10_6N_N_N_1,X10_8N_N_N_0,X11_11N_N_N_0,X11_13N_N_N_0,X11_19N_N_N_1,X11_23N_N_N_1,X11_24N_N_N_0,X11_3N_N_N_1,X11_6N_N_N_1,X11_8N_N_N_0,X12_11N_N_N_0,X12_13N_N_N_0,X12_19N_N_N_1,X12_23N_N_N_1,X12_24N_N_N_0,X12_3N_N_N_1,X12_6N_N_N_1,X12_8N_N_N_0,X13_11N_N_N_0,X13_13N_N_N_0,X13_19N_N_N_1,X13_23N_N_N_1,X13_24N_N_N_0,X13_3N_N_N_1,X13_6N_N_N_1,X13_8N_N_N_0,X14_11N_N_N_0,X14_13N_N_N_0,X14_19N_N_N_1,X14_23N_N_N_1,X14_24N_N_N_0,X14_3N_N_N_1,X14_6N_N_N_1,X14_8N_N_N_0,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu57,186,6,117,2,13,23,0,0,28,2,7,0,21,2,23,4,3,4,4,0,110,32,3,1,0,6,40,3,0,62,0,17,2,0,5,3,17,17,17,1,0,0,2,230,6,43,11,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Glarea,s__unidentified
Zotu219,12,14,36,2,62,5,11,16,0,1,8,0,24,4,0,6,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_leptospora
Zotu6,3932,371,1,0,1,4,98,0,267,1,1,0,0,10,2,0,1,181,1,0,0,56,1,2,114,1,3,0,0,107,560,0,4,4328,34,0,0,21,169,150,28,4,173,16,0,12,2490,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Geastraceae,g__Geastrum,s__Geastrum_saccatum
Zotu290,268,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
Zotu249,351,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,
Zotu1749,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Zotu1051,7,1,0,2,0,0,0,0,6,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,5,0,0,1,0,0,0,0,k__Fungi,p__Kickxellomycota,c__Kickxellomycetes,o__Kickxellales,f__Kickxellaceae,g__Ramicandelaber,
Zotu5,453,85,4,156,258,33,448,621,218,26,181,95,78,121,15,33,331,91,100,587,285,149,59,99,90,230,4,650,2230,1092,45,105,76,68,16,81,146,119,119,170,327,316,22,57,9,6,175,238,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,s__unidentified
Zotu26,8,15,2,0,9,16,25,0,1,28,7,0,6,0,0,3,0,1243,1667,0,0,1,2,3,0,14,0,1,0,0,0,0,0,25,1,0,0,0,0,0,0,2,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__unidentified,s__unidentified
Zotu357,148,1,0,57,0,0,0,0,7,0,0,1,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
Zotu1075,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,24,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__unidentified,s__unidentified
Zotu712,6,0,3,0,23,0,6,0,3,1,0,0,1,0,0,0,0,2,3,0,0,0,4,0,4,2,0,0,0,0,1,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,k__Fungi,,,,,,
Zotu23,8,3,4,0,12,1,1,9,0,16,51,7,10,1981,3,56,4,449,13,18,20,61,7,99,8,42,1,2,7,11,40,14,22,17,3,26,8,0,1,30,6,14,11,9,0,29,1,7,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_avenacea
Zotu36,21,119,93,38,113,17,75,41,66,86,20,119,16,12,12,92,38,8,280,61,68,20,2,30,22,47,351,24,57,32,3,44,53,7,19,4,73,19,27,44,16,1,75,248,6,56,21,90,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,
Zotu465,39,0,1,0,0,0,0,0,31,0,0,0,0,0,0,29,8,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,
Zotu37,36,93,82,20,0,81,93,119,105,4,18,44,17,6,101,14,10,8,64,30,8,34,13,32,37,15,150,110,11,142,8,24,77,72,23,4,235,173,121,62,238,9,180,186,12,119,50,2,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
Zotu925,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__Coprinellus_eurysporus
Zotu544,122,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__Thanatephorus_cucumeris
Zotu27,61,23,33,15,23,26,19,578,53,85,111,6,17,139,31,207,39,65,78,40,15,117,111,241,9,224,8,2,56,9,7,109,35,43,90,100,29,50,49,24,8,429,80,9,0,4,48,15,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_lacertarum
Zotu567,76,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,
Zotu139,60,56,28,6,23,5,35,33,38,13,13,1,31,1,3,15,0,0,48,28,9,0,0,1,0,0,1,3,2,0,0,0,0,0,0,10,3,30,0,0,0,5,1,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Morosphaeriaceae,g__Acrocalymma,s__Acrocalymma_fici
Zotu253,16,3,1,1,1,1,4,154,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,1,0,0,0,0,0,0,1,38,0,0,0,3,0,0,0,62,0,1,2,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,,
Zotu94,131,17,5,2,14,6,58,23,4,28,5,2,12,21,217,41,1,16,47,2,20,18,14,40,11,9,38,0,19,59,15,7,5,155,7,18,9,34,35,14,6,19,65,4,10,6,4,22,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,
Zotu100,10,8,5,7,14,1,3,385,2,13,8,10,2,3,9,11,8,204,14,0,13,9,11,0,21,30,5,7,17,12,256,0,3,0,22,3,2,4,9,2,7,10,31,3,1,4,3,2,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Epicoccum,s__Epicoccum_nigrum
Zotu74,48,7,2,4,0,4,1,0,2,0,0,0,130,0,752,5,0,0,19,0,12,9,1,1,0,10,3,16,22,16,0,0,0,4,0,0,6,31,0,0,1,1,4,1,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
Zotu484,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__unidentified
Zotu206,1,1,1,0,1,1,0,2,2,1,1,0,3,6,26,24,131,14,1,0,0,24,5,14,28,2,0,0,29,0,5,1,2,15,7,1,7,5,1,13,0,14,10,0,1,1,1,2,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,s__Myrmecridium_thailandicum
Zotu181,25,7,12,36,24,1,3,15,3,108,21,18,10,20,7,12,0,1,0,0,0,0,1,0,0,3,0,6,1,0,0,0,5,0,10,3,2,0,5,1,0,0,2,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_samararum
Zotu595,34,0,0,0,8,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,
Zotu196,11,20,24,25,16,6,20,23,0,2,5,8,19,1,4,12,0,15,105,42,15,0,5,8,1,2,6,1,11,4,0,0,3,0,1,1,6,4,2,0,4,2,22,6,2,3,4,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__Trichoderma_viride
Zotu29,99,50,22,16,35,56,69,45,72,50,63,16,22,57,74,83,10,25,683,231,56,63,34,95,26,40,271,48,13,39,31,41,56,18,34,7,37,127,189,47,109,68,114,64,10,150,38,10,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu10,116,156,207,391,59,82,1,64,0,373,492,1,0,885,179,539,0,87,0,6,0,36,17,45,0,9,0,1102,8,0,0,1,0,243,0,0,0,0,0,14,0,0,5,47,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__unidentified,s__unidentified
Zotu129,44,7,0,3,98,34,0,0,2,1,94,1,0,50,46,0,9,4,2,0,9,25,5,1,5,0,5,10,24,14,5,0,1,1,7,0,19,31,12,0,28,20,11,0,31,0,4,3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,s__unidentified
Zotu73,152,68,12,79,225,9,9,22,23,24,66,16,109,27,20,20,6,11,13,18,16,11,3,1,3,0,0,2,51,0,0,0,2,4,3,1,9,3,7,3,1,12,5,0,1,0,0,8,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,
Zotu516,6,1,0,2,0,0,1,3,0,0,1,0,1,1,0,0,1,1,1,12,4,0,0,0,2,1,0,2,1,2,1,1,30,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,k__Fungi,p__Chytridiomycota,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Zotu466,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
Zotu79,30,82,39,19,14,18,50,24,51,4,30,16,19,19,34,29,10,7,61,14,3,7,2,18,22,30,33,4,2,7,0,23,11,15,8,1,50,19,62,14,17,7,19,66,2,33,22,6,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,s__Exophiala_equina
Zotu2,221,297,177,101,186,104,105,928,146,1549,250,112,74,145,149,184,1900,2413,124,1590,1744,571,2419,2148,529,858,94,419,1398,234,244,161,161,39,89,137,18,38,106,133,306,205,33,7,16,29,31,126,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_alternata
Zotu410,12,1,0,0,1,2,2,50,2,0,1,0,1,0,0,0,0,0,1,1,0,3,2,0,0,1,0,0,2,0,3,0,0,2,31,0,0,0,0,0,0,0,8,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea
Zotu120,12,5,12,10,7,0,19,1,3,0,0,0,0,0,3,56,0,3,30,0,0,7,0,0,0,0,55,1,15,0,0,0,0,0,14,0,257,0,0,0,295,1,19,0,1,5,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Magnaporthiopsis,s__Magnaporthiopsis_incrustans
Zotu395,15,26,0,0,4,1,4,9,8,0,0,5,4,0,1,17,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_persicinum
Zotu688,8,0,0,0,0,1,0,6,9,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu423,8,4,2,0,1,1,0,0,5,0,2,0,0,0,5,4,0,0,8,6,1,3,2,2,2,3,16,0,2,9,3,4,2,3,1,0,3,23,25,1,16,0,0,0,0,6,2,2,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusicolla,s__Fusicolla_acetilerea
Zotu156,114,3,0,20,15,0,5,0,3,0,123,1,1,0,29,6,0,0,2,0,1,10,11,0,2,110,0,4,50,60,6,0,1,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,s__unidentified
Zotu741,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,1,6,6,0,0,0,0,0,0,3,1,1,0,0,2,1,2,0,0,0,0,6,0,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
Zotu627,3,1,0,0,0,0,1,0,0,0,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
Zotu1936,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,2,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Zotu148,117,0,0,0,1,6,1,0,3,0,0,0,0,322,7,0,9,0,0,0,0,24,38,0,0,0,0,3,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_luteopallida
Zotu70,64,3,3,3,9,0,1,36,9,15,14,3,3,8,26,19,138,271,6,3,80,20,62,401,92,147,8,59,556,320,559,60,9,4,18,4,1,4,8,9,4,5,2,0,2,2,0,3,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_infectoria
Zotu488,16,3,0,10,5,1,1,3,0,0,2,0,4,0,0,1,0,3,7,2,5,2,1,6,0,6,1,0,0,2,0,0,0,0,1,1,1,8,0,0,0,0,5,2,0,1,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_brasilianum
Zotu103,84,27,4,13,50,25,11,172,7,136,22,10,11,20,33,51,0,0,0,0,0,2,0,1,0,3,0,6,1,0,0,0,0,14,20,43,2,3,0,74,0,1,2,0,0,1,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_samararum
Zotu643,16,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
Zotu1142,6,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Rozellomycota,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Zotu1307,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,
Zotu920,5,0,0,0,1,0,0,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,,,,
Zotu108,14,10,59,0,3,10,24,6,32,8,8,0,0,10,38,19,8,6,52,21,1,45,10,42,3,9,69,0,0,69,5,26,34,35,9,0,15,46,32,39,29,12,12,2,2,53,36,6,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,,,
Zotu46,33,85,83,537,65,8,73,86,0,13,1,42,8,2,4,22,2,25,124,10,19,13,7,21,3,12,152,0,3,29,0,15,26,31,24,28,269,24,1,10,0,17,3,11,0,32,90,4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,s__unidentified
Zotu1627,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,
Zotu39,106,294,79,161,191,82,63,60,108,7,10,11,170,10,47,43,6,9,33,7,79,18,11,14,2,12,1,4,183,4,2,4,2,8,6,0,25,0,3,8,0,1,7,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
Zotu521,11,8,0,46,6,0,1,0,0,0,0,3,1,0,2,0,0,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
Zotu520,11,0,9,3,0,7,0,37,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Immersiella,s__Immersiella_caudata
Zotu138,52,11,13,16,2,1,14,4,32,14,6,5,2,2,5,8,9,11,59,73,16,7,1,7,9,7,125,5,2,14,1,3,41,3,12,0,25,20,8,16,48,4,14,11,2,7,8,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__Trichoderma_spirale
Zotu1921,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu341,28,3,6,31,60,10,3,7,1,0,1,3,4,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Didymocyrtis,s__Didymocyrtis_cladoniicola
Zotu1626,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__Spizellomyces_punctatus
Zotu7,58,130,121,139,262,47,60,564,53,180,782,158,51,55,76,283,94,210,7,24,1162,53,46,39,102,496,57,166,639,144,114,22,206,24,668,153,23,35,48,37,56,33,67,7,3,23,18,172,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_cladosporioides
Zotu260,16,30,2,19,34,2,1,11,8,0,8,5,23,2,5,21,11,8,1,2,0,11,4,8,1,1,0,0,9,0,0,0,0,1,0,1,5,1,0,3,0,0,2,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,s__Cyphellophora_fusarioides
Zotu762,3,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,1,1,3,0,0,0,0,0,20,5,0,0,0,1,0,0,0,0,k__Fungi,,,,,,
Zotu424,12,1,0,6,10,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,1,0,45,0,0,0,0,0,12,0,1,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Fusidium,s__unidentified
Zotu184,21,4,0,7,14,4,5,31,1,4,8,12,11,9,97,18,1,34,0,0,1,67,4,18,0,1,0,2,6,0,9,1,5,13,2,0,1,4,2,7,0,13,9,2,3,0,0,0,k__Fungi,p__Ascomycota,,,,,
Zotu35,36,157,16,50,30,30,37,37,77,24,17,27,25,69,93,183,39,73,99,71,75,120,21,82,20,42,56,12,14,36,19,66,47,66,18,5,69,186,123,24,181,96,72,65,10,91,22,5,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_oxysporum
Zotu1272,24,0,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,
Zotu203,7,95,10,20,28,7,12,23,30,3,7,1,28,2,5,84,7,1,15,2,2,23,1,2,6,0,0,0,6,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,
Zotu15,104,0,216,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,945,0,0,3111,0,0,1229,0,0,1,0,k__Fungi,,,,,,
Zotu121,20,19,8,13,13,8,28,26,56,4,77,4,46,8,10,27,4,26,19,5,10,46,0,3,1,57,1,0,4,12,1,6,0,1,31,10,38,6,0,5,0,3,4,0,0,0,1,1,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Zotu191,37,8,9,23,4,2,3,15,7,5,4,12,44,0,0,0,11,4,34,33,12,0,1,4,0,5,53,0,3,0,0,1,1,1,22,0,21,2,0,0,1,1,8,9,0,1,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Mariannaea,s__Mariannaea_fusiformis
Zotu93,108,32,8,16,38,5,25,60,18,129,15,36,56,36,48,47,0,4,0,1,0,0,6,2,0,21,0,7,9,1,1,1,7,10,92,127,11,1,2,10,0,5,14,0,0,2,0,1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,s__Neosetophoma_samararum
Zotu1451,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,,
Zotu892,21,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Fusariella,s__unidentified
Zotu102,36,44,32,8,160,14,20,13,24,0,133,2,50,2,3,29,0,19,8,0,3,4,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_leptospora
Zotu284,8,13,13,22,45,6,6,18,3,4,2,6,27,1,2,17,11,2,1,0,1,2,1,2,0,2,0,1,12,0,0,0,0,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,s__Cyphellophora_fusarioides
Zotu1001,11,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__unidentified,s__unidentified
