,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0,Kingdom,Phylum,Class,Order,Family,Genus,Species,Function
Zotu615,10,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpoda,Consumer
Zotu1161,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,Consumer
Zotu1664,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Leptomyxidae,Ripidomyxa,Consumer
Zotu3870,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,,,,,,,
Zotu109,30,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Pansomonadida,Agitatidae,Agitata,Consumer
Zotu1792,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Consumer
Zotu48,6,11,3,16,25,9,9,14,12,66,11,7,26,18,12,21,46,38,14,5,11,12,34,37,5,27,1,27,27,21,9,22,22,8,1,18,6,2,2,5,5,14,13,8,3,5,14,7,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Pseudoplatyophrya,Consumer
Zotu1198,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,12,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Glissomonadida_X,Glissomonadida_XX,Consumer
Zotu181,3,4,2,2,1,1,3,3,2,2,9,1,0,1,2,6,1,5,3,7,14,2,4,1,0,6,0,4,6,6,5,5,8,9,1,2,4,7,15,4,0,2,1,5,1,1,18,6,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpodida_X,Consumer
Zotu1204,4,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,,Consumer
Zotu347,29,5,20,0,3,0,7,6,0,0,5,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,17,0,12,0,0,0,1,0,0,0,0,0,0,0,0,Eukaryota,,,,,,,
Zotu505,1,1,4,0,2,2,2,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,1,5,1,1,0,1,0,4,11,1,1,0,0,1,0,4,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,,,Consumer
Zotu381,11,0,0,0,2,7,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,3,1,0,3,0,1,4,0,1,8,2,2,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Astomatia,Astomatida,,Consumer
Zotu1112,6,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,Ptolemeba,Consumer
Zotu3115,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,OLIGO4,OLIGO4_X,OLIGO4_XX,Consumer
Zotu2540,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,,Consumer
Zotu3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Salpingoecidae_Group_C3,Salpingoecidae_Group_C3_X,Consumer
Zotu427,1,0,2,0,0,0,0,0,8,8,1,0,0,1,0,4,1,3,4,1,3,0,1,0,5,1,0,0,0,0,0,0,7,2,1,0,1,2,4,0,0,0,0,1,0,0,1,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,Consumer
Zotu3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_2,Scuticociliatia_2_X,Scuticociliatia_2_XX,Consumer
Zotu3415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Eukaryota,Opisthokonta,,,,,,Consumer
Zotu4800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Apusomonadidae_Group-1_XXX,Consumer
Zotu1917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Proleptomonadidae,Proleptomonas,Consumer
Zotu229,12,2,0,8,4,3,4,4,12,9,1,3,7,51,1,2,2,2,5,6,2,5,0,6,5,2,0,9,4,1,3,3,5,0,0,12,1,0,2,1,0,0,0,2,1,0,0,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,,Consumer
Zotu129,8,4,1,2,3,40,5,3,8,5,5,1,5,4,12,5,0,3,5,2,1,6,7,9,4,3,2,4,2,8,0,1,4,5,3,1,3,2,1,2,8,7,3,5,0,5,11,4,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Paracercomonadidae,Paracercomonas,Consumer
Zotu2923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Schizoplasmodiids,,Consumer
Zotu2360,0,0,0,2,0,0,1,2,0,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Operculariidae,Operculariidae_X,Consumer
Zotu598,0,1,1,2,2,5,0,2,0,0,1,0,2,0,1,0,0,2,1,3,1,0,1,2,1,2,0,1,3,0,0,0,2,1,1,3,0,0,1,2,1,9,0,0,1,2,2,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,,Consumer
Zotu27,38,17,25,8,15,8,15,40,24,9,40,1,8,10,27,42,23,25,42,26,35,38,44,13,44,97,7,35,19,43,29,15,29,18,25,71,26,22,33,24,10,37,18,3,0,14,2,25,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytrichidae_X,Consumer
Zotu3912,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Arcellinida,Arcellinida-A3,Spumochlamys,Consumer
Zotu2344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpoda,Consumer
Zotu2742,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Eukaryota,Alveolata,Ciliophora,Nassophorea,Nassophorea_X,Microthoracida,Microthoracida_X,Consumer
Zotu273,2,1,0,1,3,6,0,3,8,1,1,4,12,8,0,1,0,0,0,0,0,3,1,2,8,7,4,1,15,0,2,3,4,2,1,1,1,1,0,5,0,3,7,10,0,1,1,2,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Proleptomonadidae,Proleptomonas,Consumer
Zotu1592,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Opisthokonta,,,,,,Consumer
Zotu2382,4,0,0,2,1,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,2,0,1,0,0,0,1,0,1,0,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsidae_X,Consumer
Zotu4469,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,,Consumer
Zotu68,2,2,11,4,6,5,4,3,3,4,6,15,7,3,11,12,3,2,20,1,9,11,6,2,10,6,11,2,5,9,5,3,16,18,9,11,4,59,5,2,1,4,3,22,9,0,8,7,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,,,Phototroph
Zotu195,0,3,2,2,5,18,5,1,0,0,30,4,3,0,6,1,4,0,4,0,5,2,3,4,5,2,1,1,0,2,0,2,4,0,1,1,0,2,1,3,2,5,7,4,0,4,0,2,Eukaryota,Stramenopiles,Pseudofungi,Hyphochytriomyceta,Hyphochytrydiales,Hyphochrytriaceae,Hyphochytrium,Parasites
Zotu820,4,2,1,0,0,1,0,0,1,1,2,0,0,1,1,4,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,4,2,0,1,0,1,0,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Trinematidae,,Consumer
Zotu1077,2,0,0,1,0,0,0,0,2,0,0,0,5,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Echinamoebida,Echinamoebidae,Echinamoeba,Consumer
Zotu541,14,3,0,2,0,0,4,2,0,0,2,2,1,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,Consumer
Zotu222,11,3,3,5,7,15,3,6,3,0,0,0,5,2,2,1,0,1,0,3,1,1,0,0,0,1,0,1,0,4,3,0,1,1,3,3,1,13,3,2,0,0,1,2,1,6,7,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,,Consumer
Zotu1075,1,1,1,0,0,2,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Consumer
Zotu106,18,15,13,6,14,3,7,13,22,3,24,14,33,3,4,23,0,0,0,0,1,1,0,0,4,8,5,14,13,3,3,3,3,9,12,4,8,12,10,12,20,4,9,20,1,0,8,3,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma-lineage_X,Consumer
Zotu2040,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Platyophryida,Platyophrya,Consumer
Zotu327,7,1,4,4,0,1,5,5,0,2,2,2,0,6,5,7,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,0,1,3,0,1,6,4,5,1,1,4,3,0,6,4,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma-lineage_X,Consumer
Zotu1652,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,Consumer
Zotu117,2,1,1,1,4,7,3,3,2,0,1,0,1,3,29,3,1,0,21,0,5,3,0,1,0,1,6,0,3,7,0,0,1,6,1,0,3,0,0,9,26,1,5,8,31,0,1,26,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,Ptolemeba,Consumer
Zotu612,10,4,0,1,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,,,,,,,
Zotu873,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,3,2,2,2,1,0,0,0,11,0,0,2,0,0,0,0,0,1,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Exocolpoda,Consumer
Zotu492,1,2,4,3,3,3,4,1,0,10,4,5,3,1,3,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,1,0,1,3,2,0,0,0,4,1,16,0,1,1,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma-lineage_X,Consumer
Zotu3681,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_2,Scuticociliatia_2_X,,Consumer
Zotu85,5,2,1,2,1,5,0,8,6,0,0,0,0,1,0,5,5,1,3,4,0,3,7,0,0,0,1,1,0,0,8,10,7,3,3,2,109,10,5,3,1,0,0,1,0,6,7,3,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Peronosporales,Peronosporales_X,Parasites
Zotu67,1,9,19,8,1,3,4,5,16,14,3,3,0,2,35,6,15,9,2,5,6,2,4,10,1,0,21,4,5,11,1,9,1,1,14,5,0,0,0,11,86,0,42,26,17,7,19,27,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,Ptolemeba,Consumer
Zotu3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Eukaryota,,,,,,,
Zotu591,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Leptomyxidae,,Consumer
Zotu4823,2,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,,,,,,,
Zotu169,1,14,25,5,4,12,3,7,1,3,4,2,1,0,20,7,5,5,8,0,2,6,19,3,0,0,7,0,0,5,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,3,1,0,Eukaryota,Rhizaria,Cercozoa,Endomyxa-Phytomyxea,Plasmodiophorida,Plasmodiophorida_X,Spongospora,Consumer
Zotu1116,0,1,0,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Consumer
Zotu2982,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Consumer
Zotu4312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,,,,,Consumer
Zotu551,6,1,0,2,0,0,2,0,0,8,6,1,0,6,4,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,2,0,0,1,0,3,0,0,0,6,0,0,0,0,1,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,,Consumer
Zotu1281,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Opisthokonta,,,,,,Consumer
Zotu2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,,,Parasites
Zotu1005,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,2,0,0,2,0,0,1,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Variosea_XX,Variosea_XXX,Consumer
Zotu426,0,3,4,1,0,1,0,0,0,0,7,3,2,1,2,0,0,8,1,2,3,0,0,2,3,3,1,2,2,0,0,4,0,2,0,0,3,1,0,0,0,2,8,0,0,1,0,1,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandonidae_X,Consumer
Zotu2098,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Opisthokonta,,,,,,Consumer
Zotu424,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,8,3,0,0,0,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,Consumer
Zotu535,5,0,2,2,0,4,6,1,0,14,1,4,1,1,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,2,1,2,0,0,1,0,0,2,2,0,0,0,2,1,1,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Haptoglossales,Haptoglossa,Parasites
Zotu255,1,5,4,5,3,1,0,4,2,6,4,4,6,7,6,2,1,0,9,2,2,2,0,0,5,5,0,7,0,5,14,2,0,2,6,2,2,2,4,0,1,0,3,1,1,0,3,4,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Spumella,Phototroph
Zotu4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Schizoplasmodiids,,Consumer
Zotu538,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytricha,Consumer
Zotu888,2,0,1,2,6,0,2,1,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,1,0,0,1,0,6,3,0,0,1,1,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Trinematidae,Trinematidae_X,Consumer
Zotu2045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Nolandida,Nolandellidae,Nolandellidae_X,Consumer
Zotu1267,2,1,11,1,0,0,2,2,0,0,0,0,0,1,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,0,0,2,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma-lineage_X,Consumer
Zotu765,1,0,2,1,0,1,2,0,5,0,1,1,2,3,0,0,0,10,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,5,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Paracercomonadidae,Paracercomonas,Consumer
Zotu95,6,7,17,5,6,17,9,6,19,17,7,4,12,8,27,9,11,6,12,2,9,22,16,10,7,3,13,9,2,14,2,5,9,9,14,2,11,16,16,11,13,4,7,9,5,30,8,5,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Group-Te,Consumer
Zotu3339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytrichidae_X,Consumer
Zotu2517,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12C,MAST-12C_X,MAST-12C_XX,Consumer
Zotu2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,Cyrtolophosidida_X,Consumer
Zotu1391,0,0,0,0,1,1,0,0,3,0,1,0,3,1,0,0,1,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandona,Consumer
Zotu3326,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Echinamoebida,Vermamoebidae,Hartmannella,Consumer
Zotu1617,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,Euglypha,Consumer
Zotu143,4,4,2,2,4,1,3,0,0,1,5,0,19,7,0,7,10,7,8,9,7,7,5,2,8,17,2,4,6,0,11,11,2,2,4,12,2,1,7,2,1,23,23,4,1,0,0,26,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpoda,Consumer
Zotu4227,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,,,,,Consumer
Zotu705,0,0,1,2,0,1,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,4,0,0,0,0,0,0,1,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytrichidae_X,Consumer
Zotu289,6,0,1,0,0,1,1,0,1,0,0,0,0,0,2,9,0,0,9,0,0,2,4,0,0,2,0,0,0,0,1,3,4,3,0,0,0,8,0,3,0,0,0,0,0,0,0,0,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Pseudourostylidae,Pseudourostyla,Consumer
