Sample_name,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasite,Phototroph
X11_19_N_N_1,42.89916,60.34631,30.3959,6.41583,55.71353,20.91645,22.51811,3.15096,53.59634,56.77351,12.05904,46.38503,26.40868,16.41462,90.82263,25.69077,0.91472,7.8779,25.37055,59.05811,15.30981,1.702285943,14.83127093,7.417250709,4.524940956,5.464941075,1.055916152,39.09104202,4.478008877,2.11276837
X11_23_N_N_1,38.58187,54.2879,31.53689,8.72934,41.99368,23.21824,20.85054,1.47855,47.72099,63.05446,12.72615,44.58017,26.28144,16.77468,85.34168,23.33472,1.2655,4.02732,22.46807,49.73563,8.64765,1.458517427,10.86519429,6.446229275,6.203171754,5.117736182,0.948079047,34.01303011,3.764146799,1.808840534
X11_24_N_N_0,35.95753,51.79247,29.63908,3.17976,50.73386,18.8391,19.17733,1.40254,47.48838,55.43602,11.79468,39.25581,21.2817,16.5899,78.19662,19.81635,1.02158,6.99914,24.25778,43.94714,9.75701,0.994718672,13.35835159,8.169997045,4.490417668,6.491871659,1.430432566,38.96633773,2.754709141,2.704667965
X11_3_N_N_1,45.79175,63.66031,36.21945,7.00092,56.65352,24.86501,21.87594,0.93771,59.59516,55.37213,12.95073,43.70171,25.20917,15.95237,83.70154,27.36313,1.27495,7.32703,27.61468,47.53069,11.22515,1.382164041,14.93407675,6.17594791,3.271977231,7.070738108,1.049515253,39.230287,4.700725831,2.487984022
X11_6_N_N_1,39.66054,56.77435,31.79165,8.22055,55.7244,20.76258,21.80725,1.43514,47.45461,62.8306,13.02906,42.15876,19.23005,14.35233,65.45761,11.60817,0.53508,2.61487,15.03736,37.14241,2.61487,1.716736095,14.1071883,7.147657539,8.352466209,5.46422335,0.885819782,44.30902082,3.875654268,2.468359007
X11_8_N_N_0,42.46601,60.96311,32.69907,6.94086,51.1873,23.25925,21.21823,1.3402,50.36118,56.14934,12.6748,41.05464,17.80071,15.71971,78.38261,18.80001,1.00471,5.6629,18.21014,50.74898,11.0576,1.865550929,14.18685436,5.589458255,7.161691224,6.731992591,0.97351569,42.59506622,4.659611565,2.346701827
X12_11_N_N_0,41.87955,57.11278,45.86802,9.93053,51.58013,21.43296,19.7707,1.40644,52.98647,62.19124,14.65204,49.50505,28.95641,20.12012,60.66502,22.89473,0.63918,2.29926,20.34662,38.21768,2.29926,1.741940649,12.89958622,5.177783454,6.437612779,8.694671092,1.185459282,38.31311856,4.077591114,2.35240331
X12_13_N_N_0,37.87859,61.14661,41.59015,7.6371,49.45803,23.99979,21.07006,1.42942,47.46538,69.10092,11.49665,44.37404,23.32102,16.03742,80.78412,19.61113,0.77732,6.41783,17.26285,46.0659,12.61588,2.680782469,11.58316838,7.694301011,3.999054636,6.915688401,1.554457057,37.02167414,3.899171378,2.646920376
X12_19_N_N_1,37.09765,48.69885,27.41587,7.25177,48.18607,17.68355,16.5098,1.5367,47.64055,47.3839,10.0655,41.27039,19.98317,16.12065,82.98478,26.70636,4.93677,7.95502,17.86232,47.20294,11.48079,1.91123719,11.89235919,5.836513417,4.592943098,4.312435354,1.399303478,31.7573795,4.164898143,2.529208658
X12_23_N_N_1,31.73934,50.72002,38.8283,4.0321,41.44479,25.46137,18.39279,0.97542,38.17482,61.00478,12.24848,37.56465,20.09517,15.79501,72.2433,18.89345,0.69544,0,17.62394,36.34383,0,1.487858849,13.88120971,6.225685476,3.463391702,5.975986234,1.304507089,37.24693158,3.889088554,2.148813947
