NetworkIndex,Total.nodes.Bac,Total.links.Bac,avgK.Bac,avgCC.Bac,GD.Bac,Density.Bac,Transitivity.Bac,Con.Bac,Module.number.Greedy.optimization.Bac,Modularity.Greedy.optimization.Bac,Total.nodes.Fun,Total.links.Fun,avgK.Fun,avgCC.Fun,GD.Fun,Density.Fun,Transitivity.Fun,Con.Fun,Module.number.Greedy.optimization.Fun,Modularity.Greedy.optimization.Fun,Total.nodes.Pro,Total.links.Pro,avgK.Pro,avgCC.Pro,GD.Pro,Density.Pro,Transitivity.Pro,Con.Pro,Module.number.Greedy.optimization.Pro,Modularity.Greedy.optimization.Pro
X11_19_N_N_1,981,1112,2.267074414,0.110311859,6.71084397,0.002313341,0.29489603,0.419821507,153,0.878507874,114,153,2.684210526,0.094594595,3.324578237,0.023754075,0.056016598,0.800652073,16,0.656303883,85,152,3.576470588,0.071519453,2.079742095,0.042577031,0.040214477,0.8,10,0.463237741
X11_23_N_N_1,783,870,2.222222222,0.12787543,6.781783221,0.002841716,0.360208817,0.273631158,137,0.890229362,102,119,2.333333333,0.136011905,3.92671424,0.02310231,0.102040816,0.813628422,15,0.708022107,52,67,2.576923077,0.011728395,2.385408286,0.050527903,0.016483516,0.750377074,9,0.537385377
X11_24_N_N_0,814,957,2.351351351,0.172972503,6.121715629,0.002892191,0.23290938,0.31587139,137,0.849131585,63,62,1.968253968,0.238536155,3.236507491,0.031746032,0.138461538,0.492063492,14,0.773792072,73,112,3.068493151,0.034346505,2.251400246,0.04261796,0.039823009,0.868340944,8,0.51149422
X11_3_N_N_1,1101,1322,2.401453224,0.112130491,6.42079712,0.002183139,0.258745142,0.501121295,149,0.858825713,112,156,2.785714286,0.060735736,3.058814053,0.025096525,0.029411765,0.846042471,13,0.642725915,89,155,3.483146067,0.025621292,2.153581595,0.039581205,0.01754386,0.869765066,11,0.481568238
X11_6_N_N_1,938,989,2.108742004,0.135668338,7.844584324,0.002250525,0.275436793,0.330028467,155,0.910144507,73,81,2.219178082,0.120068027,3.703255579,0.030821918,0.105882353,0.613774734,11,0.740060029,58,66,2.275862069,0.054421769,2.750804126,0.039927405,0.058441558,0.774349667,9,0.645720396
X11_8_N_N_0,1161,1467,2.527131783,0.123218716,6.173905042,0.002178562,0.175084694,0.51677062,150,0.824199013,103,130,2.524271845,0.106836536,3.068120982,0.024747763,0.089108911,0.651437274,15,0.662571886,87,148,3.402298851,0.029259911,2.320390261,0.039561615,0.032159265,1,9,0.497438687
X12_11_N_N_0,1232,1705,2.767857143,0.124257861,5.573164574,0.002248462,0.164546622,0.577674154,144,0.76825659,57,60,2.105263158,0.113824885,3.683588389,0.037593985,0.151260504,0.652882206,12,0.715372099,73,116,3.178082192,0.020063994,2.105726574,0.04414003,0.025316456,0.842465753,10,0.492173733
X12_13_N_N_0,990,1179,2.381818182,0.135652485,7.090994537,0.00240831,0.20186406,0.460328257,132,0.861298312,86,94,2.186046512,0.179196217,3.499456382,0.025718194,0.142857143,0.556497948,16,0.765897349,71,103,2.901408451,0.032624113,2.4906292,0.041448692,0.035608309,0.89054326,10,0.544995682
X12_19_N_N_1,775,836,2.157419355,0.157725375,10.17373476,0.002787364,0.401459854,0.227803618,152,0.89893034,93,110,2.365591398,0.128914141,3.524644401,0.02571295,0.140186916,0.704067321,17,0.713421897,81,119,2.938271605,0.075239793,2.276614738,0.036728395,0.027842227,0.747530864,11,0.550694463
X12_23_N_N_1,733,785,2.141882674,0.161710675,7.304010226,0.002926069,0.393313668,0.172783456,148,0.896745462,86,98,2.279069767,0.089102564,3.557811971,0.026812585,0.1,0.610396717,14,0.736411455,72,131,3.638888889,0.012554113,2.002198177,0.051251956,0.01663586,0.840375587,11,0.441094261
