,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteriales,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasites,Phototroph,Consumer.richness,Consumer.PD
X13_6_N_N_1,5.628103754,6.184311779,5.495375575,3.662706792,5.252717281,3.230559758,4.212560815,1.769736221,5.910046123,5.492535447,4.854759724,5.667615532,4.439914497,3.644124579,3.853010656,2.103189591,0.801235467,2.261821242,1.693996163,3.016992442,2.427454784,1.890362775,5.108096369,3.958280435,2.425479708,2.630648869,2.647357143,5.472424623,2.735509443,2.768063505,398,38.18844784
X13_8_N_N_0,5.299497763,6.438386653,5.54163293,4.211382847,5.304454895,3.527728505,4.535106568,1.475179394,5.773738578,5.56987751,4.786956627,5.246085086,4.842848006,3.261014159,3.073277709,1.262204224,1.221994638,3.225252583,2.012440847,2.007526859,3.231594128,2.013008557,5.080438883,4.213276655,2.552085298,3.524780492,2.726427595,5.650277902,2.904352903,2.825703358,442,44.03151681
X14_11_N_N_0,5.529952967,6.290112842,4.651182408,3.999539521,4.814653173,3.692350408,3.991905014,1.613600692,5.606599261,5.161690894,4.35341301,5.324434771,4.75623948,3.286275684,3.763726838,2.985425191,1.19438246,3.068495303,2.208499716,3.299777713,3.194923328,0.82307513,4.631228003,3.492751994,3.31580896,1.910508113,2.736186991,5.028345936,1.697208724,3.058513869,332,35.44239206
X14_13_N_N_0,5.648580626,6.403940697,4.460004573,4.217486396,4.898155628,3.597002707,4.546416528,1.961051498,5.740284015,5.639531938,4.381183838,5.190786334,3.856140315,3.975198305,2.926660027,2.538384485,1.319945501,2.451255558,2.193741199,2.721580326,2.558702933,1.504788284,4.547857403,3.6609718,3.102810808,2.929180667,2.291945528,4.97506657,2.638463723,2.575717756,365,36.64973067
X14_19_N_N_1,5.547532045,6.115473033,4.864231483,3.560994698,5.1302292,3.84335786,4.416401067,1.673442729,5.68957093,5.645624639,4.597127123,5.406049389,4.299860323,3.435545826,3.661059518,1.535172682,0.517217159,2.402375465,1.85760528,2.787437575,2.757572199,1.956011503,5.146300678,4.134939983,3.022515936,2.672191588,2.938306053,5.60602999,2.554217435,3.096930603,453,40.86192777
X14_23_N_N_1,5.946147424,6.34310431,5.300569336,4.187494095,5.269245482,3.726819992,4.583739682,1.908638892,5.910414712,5.50338614,4.933272869,5.408171236,4.860474604,3.597595078,4.132333992,1.678852254,1.079153312,1.732867951,1.632676029,3.453644557,2.245952081,1.359236701,4.692539377,4.261890734,2.737975556,2.966743856,2.912904467,5.417097574,2.625860212,2.999740484,438,41.66783178
X14_24_N_N_0,4.774698272,5.98273776,4.692190871,3.832933076,4.923496873,3.862619995,3.804062105,1.62625937,5.404257232,5.159785381,4.192756915,4.877522492,4.245643051,3.398229932,1.311975246,1.631486352,1.522817879,3.362486841,2.478374784,1.922923124,3.399220469,0,4.133138386,3.697911812,2.60415309,2.271487945,2.353977641,3.589489402,1.609437912,2.700727205,222,36.47960579
X14_3_N_N_1,5.751839493,6.362504028,5.055686053,4.466220778,5.268091245,4.001771875,4.429300456,1.636285647,5.758689621,5.427074674,4.644816347,5.444266496,4.444671751,3.970475825,3.69913382,1.451088054,1.710301971,2.482734388,2.418365701,3.350083191,2.669274424,1.303092404,4.973933936,3.639998888,2.941938809,3.024652387,2.821563808,5.41391939,2.625596198,3.115475025,375,43.34656893
X14_6_N_N_1,5.301269939,6.330018893,5.43659139,4.064888328,5.209387137,3.876082752,4.620734656,2.001672688,5.799282128,5.56718753,4.856931632,4.709635161,4.702798421,3.810243105,3.34596804,1.229917486,1.254990961,1.969540333,1.27795618,1.314002259,2.100203789,1.039720771,4.694673315,3.950145139,2.682016054,2.411547811,2.90792465,5.226710325,2.160928565,3.004914635,367,36.34463295
X14_8_N_N_0,5.562927297,6.386023077,5.074625831,4.184620731,5.151016377,3.991686872,4.455969804,1.970344164,5.736263956,5.634494606,4.411345927,5.12512303,4.643842427,3.745700979,3.425577737,0.941810498,1.479132807,2.45831133,1.886525741,2.829243596,2.55779386,1.722103981,4.857060226,3.824260872,3.059354849,2.804604782,2.806634686,5.315140368,2.730251705,3.011614479,383,39.30691194
