Gene,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
5f1_ppk2,64135.5932,65494.6832,61940.8906,62559.8614,63422.1798,59900.8946,59494.7217,67069.9196,55730.4664,67385.0996,58906.2458,61665.7894,71372.1065,62626.19,67027.6007,77412.6855,62532.1588,71101.4608,67580.9564,67864.6666,66575.0686,68989.2147,63978.4951,63675.3887,66477.0475,74160.8182,65963.5539,63638.0255,66898.6529,68579.578,72548.2051,73006.8308,76427.062,69187.2922,66762.2215,66057.9927,69476.0891,67259.9503,65118.5955,66757.4074,63231.0127,68688.3653,71628.7527,70141.6932,69447.043,71261.3062,71256.172,69252.7502
ABC_antibiotic_transporter,63317.23378,62168.7509,61705.81239,63654.63685,60019.02858,65580.06597,60023.12523,68847.6586,59102.5291,62935.20504,57244.41701,60092.38735,64489.76282,64110.87419,65063.08539,81310.78357,60789.77588,69243.19288,69136.31729,69292.71598,67952.77546,73368.36867,64785.49719,61179.23044,73586.61202,71527.06288,62592.00739,79375.96856,69372.09461,74692.22583,75207.05949,76574.87705,78143.15642,67515.2467,64151.26423,67302.65835,71556.77148,71597.97447,75124.69796,65383.00726,66363.29803,69729.62923,71628.07567,71385.25838,69841.78483,74318.22971,69595.4545,72772.73229
ABC_multidrug_fungi,16099.56469,16524.37084,14453.29353,16161.45541,17472.62581,16864.50827,15095.6976,20361.56358,15277.78522,18059.32202,14073.21729,17432.56315,18257.48635,15135.39787,17650.0782,21796.84322,16922.32046,17523.17518,18841.37195,18147.12831,18195.16642,19438.4429,16022.34003,17148.46638,20625.5922,20160.20751,18698.91879,18130.65131,20131.26326,20697.52369,19194.45708,21844.26553,22736.53467,18054.10223,16579.2318,16365.43339,19532.43573,16975.21723,16784.41099,18425.50565,19518.19691,19770.66535,21269.4166,21124.6128,21911.19753,20880.97816,19845.59929,21576.3368
Acc,11785.1924,12670.3969,12766.587,12930.0244,12236.1062,12556.1161,12684.4198,11692.406,8994.922,11116.4878,10565.424,10221.7839,11159.8819,11195.4099,11034.7636,12245.3425,8800.41,10965.7067,10499.4994,11090.739,11216.3765,11061.693,10864.2187,9122.726,10511.2076,10427.2948,9850.6659,9611.7542,9007.425,9579.977,10133.7368,10334.0702,10104.5712,12513.4546,11752.9919,12204.4619,10795.6119,12382.3126,11471.2599,11836.8701,10327.2142,10337.986,11364.6285,9882.176,8752.022,10193.8841,10612.0836,10237.0304
AceA,13441.1184,13344.7231,13185.8016,12902.6271,13351.8084,13461.2394,14004.4983,14606.2807,10662.724,13046.0572,13110.9154,11781.2458,12448.5153,12360.6761,11978.0164,16484.3168,11665.829,14151.4829,10914.0522,13941.9065,14051.9889,13868.2464,11531.4699,12567.678,14148.4529,16491.5937,13815.7626,14523.0665,16104.5356,16970.292,15402.7392,16326.3253,14997.0623,13651.9516,12513.8269,13013.4152,15659.0581,12663.8497,11660.8467,14763.4696,14871.0734,15128.9329,15880.4113,14917.721,13882.5831,16194.168,16505.5873,16592.8334
AceB,55590.8715,54834.1525,50700.02,54916.3184,54879.185,53612.4041,50739.7947,59086.575,51021.697,51668.8624,49256.9291,50261.4047,55928.8211,52030.9454,52166.7013,61126.037,51332.8523,55767.9525,59317.1546,58714.896,56689.7295,58680.363,53194.5305,54357.1482,58906.5361,61450.4491,56869.784,55894.7325,59444.5439,63089.2957,57991.3773,61674.4947,61284.8776,59272.393,60011.2226,54621.3091,61142.0651,57406.8586,54079.3122,58947.359,59235.4071,58578.875,62099.8801,59324.645,59096.4297,60051.646,57014.0066,60554.9508
Acetylglucosaminidase,57106.9314,57598.8504,55383.344,59727.584,59200.7542,59143.846,55829.833,64867.1921,49827.491,58871.5445,54174.7035,53860.2386,59687.5351,50769.7647,57031.2088,66422.9214,55401.7918,59893.7555,56226.8119,59664.6796,57118.1635,60399.8964,57186.4689,56142.1046,60815.5627,61454.6042,54773.5334,55883.998,60208.461,58785.838,62255.9007,62258.4937,64990.0845,60665.9716,55050.136,56558.8329,59298.8377,60586.6074,57232.767,59375.4284,59111.499,60503.5167,59739.9764,59243.956,58883.937,61991.176,56178.1286,60575.307
Aclb,13888.4463,12271.6539,10404.304,11078.6171,12041.7434,8543.2942,8391.502,9917.2053,8969.761,8458.513,8630.841,6517.623,9481.021,9543.1323,9403.431,8038.1774,7325.9259,7882.705,7190.881,8834.346,7132.3561,7913.5172,7317.634,7046.587,10132.813,9477.15,7387.0574,7589.47,8207.012,8152.9988,7058.207,7264.3106,9053.282,10364.359,8387.8618,10936.9338,13053.672,9440.673,9276.7427,8286.425,8165.7156,10281.1227,7581.4036,7955.5516,6919.9129,8546.664,10220.6673,6929.91
AcsF,1381.947,1387.463,1304.84,1252.106,1731.112,1319.841,1125.016,1152.605,1227.35,1442.389,1451.368,1395.554,1507.48,1160.275,1242.504,1717.216,1433.43,1698.072,1745.323,1709.688,1594.564,1923.608,1364.836,1691.758,1610.894,1576.529,1411.633,1739.655,1824.694,1639.336,1435.843,1801.547,1494.363,1339.137,1575.517,1657.134,1784.138,1279.269,1373.349,1686.186,1530.371,1693.762,1949.828,1468.583,1624.553,1319.807,1585.471,1757.535
Actin_Perkinsea,978.9836,755.8219,916.394,984.2934,867.5056,819.8231,1235.383,967.0612,0,770.6896,1352.536,944.0287,868.3842,2263.386,850.0964,698.6269,1110.999,845.8459,0,1020.478,1405.057,870.9715,1168.576,824.4415,685.6347,809.7936,0,1632.733,1012.688,818.6527,774.9699,723.6557,818.5057,0,798.821,816.6773,1179.751,918.6433,767.5774,673.1724,0,0,2518.523,1190.616,0,931.9774,752.1324,921.9967
Actin_Viridiplantae,6707.343,7329.824,7771.928,7290.857,6553.683,7551.023,7607.357,5666.761,5036.3332,7316.259,9044.226,6560.759,6681.885,6400.784,7599.984,5748.592,5276.9187,5871.94,6330.386,6152.636,5865.5649,6788.975,7523.758,5483.219,5842.6,5610.967,6373.73,6157.786,5915.598,6349.769,6005.7474,6051.526,5025.749,8272.931,8259.09,6688.397,5679.077,6637.078,8934.767,7139.214,6729.094,5257.956,5520.355,6858.335,5609.836,5866.944,5697.401,6209.812
Adenoviridae_protease,1743.522,1576.787,1343.841,1539.504,1498.357,1428.498,1267.695,1848.831,1444.381,1605.811,1227.979,1484.145,1409.104,2029.8,1296.915,2222.168,1602.645,1607.524,1395.821,1323.87,1793.712,1508.735,1517.657,1442.743,1769.58,1955.923,1457.654,1732.71,1946.805,1450.118,2468.865,1806.632,2185.732,1531.154,1640.592,1620.162,1413.412,1592.099,1576.514,1730.673,1571.821,1584.357,1809.18,1531.064,1484.761,1454.792,1287.204,1515.275
AhpC,19512.222,20112.0984,20438.1117,19829.0969,19345.9586,20291.5106,19631.576,20278.1678,17331.66,18883.6663,18311.2279,18957.5897,18642.8274,18252.9006,18862.7734,20907.938,18111.6264,17939.0304,18362.5237,17954.7208,19243.1421,19730.776,17640.2182,18092.195,17771.3141,19340.4901,20418.9079,16780.2555,17127.349,18008.6823,18304.6205,18247.2415,20277.0247,20139.7045,19028.9772,20231.6926,17893.8674,19310.0069,19531.6837,18262.1238,19667.5212,18204.2785,18539.2985,19125.0197,18694.5665,20170.0798,17711.1662,18633.5495
AhpF,15609.066,15667.553,14694.54,16194.898,16684.379,16516.339,15099.278,16064.569,14667.538,15769.109,14843.7876,15369.264,15640.94,16445.9,17154.273,15881.575,14258.8048,14980.264,16588.204,16531.32,14387.9969,15460.422,14702.727,14294.227,17125.618,15047.8403,16941.2325,16929.2915,14877.453,16550.8107,14980.5247,15065.9422,15141.189,16033.428,16524.322,16507.0087,15962.98,16553.359,16466.6871,16105.803,16098.5302,15072.419,15572.9353,16338.02,16033.1957,15596.268,16133.473,15616.5019
AidA,2788.317,2489.705,2772.667,2801.875,2661.288,2565.233,2714.139,2171.455,1982.141,2356.973,2119.475,2359.017,2508.436,2262.471,2673.136,2136.813,1875.155,1892.87,2152.853,2508.576,2093.152,2198.007,2248.748,2179.083,2031.405,2412.391,1931.885,1911.86,1878.001,2172.885,2119.797,2193.83,1727.055,2333.349,2829.199,2415.849,2202.563,2480.174,2409.549,2202.188,2257.69,1803.764,1968.575,2099.2,1587.484,1788.649,2096.323,1984.125
Al,22981.208,21916.641,20506.371,21672.427,21029.08,22112.898,23054.089,21308.085,22413.844,21771.91,22665.954,21016.245,25379.025,21680.958,24696.677,18795.528,22312.215,22172.801,23448.84,22663.363,23070.668,23267.881,21668.97,21981.512,24480.164,20349.932,23798.309,21297.713,21340.917,23952.069,21227.512,22942.0712,24438.156,22956.609,22832.559,22446.026,24217.473,23225.274,21435.429,26327.906,25347.754,22388.651,24041.8298,22192.16,25079.434,23038.366,22660.722,24016.181
Alg,1110.579,1178.332,1047.522,974.4745,1085.204,973.7442,950.4739,1299.814,1060.535,1090.223,1141.71,1066.098,1381.836,1123.009,908.1723,987.0143,1113.465,1152.915,0,993.9104,1255.359,1029.662,887.9344,874.402,1071.791,1229.084,1146.589,1142.361,1602.436,1193.162,1206.123,1486.928,1019.81,1187.574,986.1183,1126.555,1052.25,1089.798,1045.05,1016.787,786.609,1008.202,1172.386,1065.269,1111.552,876.8127,825.8608,901.5855
Alkb,56734.358,58436.14,57899.6608,56313.8893,55586.7476,57440.1418,57020.8942,55617.659,50438.35,57604.95,51785.7718,55148.637,54474.7934,53976.9303,55735.612,49463.17,50864.92,57415.4083,59945.6619,62649.58,56064.726,59061.1745,52556.4942,52792.2845,56249.3385,54828.0869,52897.903,50429.095,55843.133,53840.268,53150.8835,54037.2369,59480.6328,61420.3279,58077.07,57158.4232,57135.896,60215.8796,55509.2042,56291.7963,56474.39,54396.567,55374.934,54207.888,54662.501,54926.258,51279.404,55337.182
Amoa,2160.757,2030.769,2629.289,2392.529,2156.188,2612.257,2469.115,2061.022,1768.56,1936.953,2137.354,2222.03,2083.642,2260.029,2865.213,2148.08,2112.412,1768.225,1908.822,1685.065,1675.854,1846.206,1937.131,1839.863,1754.429,1524.729,1736.148,1719.111,1348.46,1592.581,1408.319,1563.833,1576.437,2269.125,2488.991,2329.304,1550.426,2237.489,2542.505,2215.127,2154.827,1711.308,1721.997,1801.542,1914.187,1798.268,1869.041,1808.903
Amoa_quasi,13400.199,12634.629,12694.237,12565.867,12597.517,14678.922,12910.191,12061.363,11852.976,13217.325,12193.564,12253.784,14160.359,11336.239,13585.512,10849.598,13055.774,14507.518,12579.316,13524.348,12781.323,12736.428,13393.215,11412.976,14236.899,11768.918,10921.06,10356.003,10228.145,10038.044,10302.029,10742.703,10913.659,14693.349,11749.791,12207.904,11837.255,11881.784,11026.658,12500.962,10839.131,12181.595,11445.979,10781.493,11045.313,10779.982,10193.218,10393.231
AmyA,324369.5206,327315.9201,314215.9243,325540.9944,318910.4215,322004.3668,327397.3146,312236.8941,288265.764,332946.8776,314791.8727,323529.6825,337091.3447,311440.406,335935.1718,315983.8521,321204.2742,336801.006,347709.8809,344880.8262,344817.8768,337047.0595,328932.8959,316525.1793,342204.7146,332209.5085,327459.9446,319779.1516,329307.3039,334930.8741,334746.1685,347801.8998,344364.3025,337947.7759,332993.8709,326000.8397,334444.3855,333786.4476,325631.9345,346892.2528,342255.3506,335748.9425,341733.7771,331177.5647,333747.789,346077.6516,328395.9931,336074.9223
Aoxb,8922.601,9673.488,8304.676,8861.139,9314.592,9480.286,8906.407,10459.216,9614.012,8673.347,8382.501,9026.645,9541.249,8861.176,8758.67,11243.551,9626.011,12019.557,9909.897,9777.507,9750.029,10303.133,8129.348,9108.371,10021.104,10875.959,9548.865,9684.607,11439.688,10615.98,9716.346,10822.291,11632.246,9702.983,9032.0848,9642.779,10657.801,10013.656,7722.0637,10923.944,10124.017,10301.7134,9714.047,9906.93,10927.536,9676.409,9787.663,10778.585
Apc,19476.47,22429.35,21442.03,22380.39,20619.06,20275.77,21816.32,17802.78,16272.34,20199.01,21270.43,18749.81,23561.11,21647.72,22469.97,16960.71,18311.36,21871.49,21318.16,22038.87,20911.47,19995.32,21962.77,19557.31,18675.24,17856.11,20804.27,17651.86,17546.78,18570.6,18226.83,19123,19979.83,24791.3,22056.33,23614.08,19564.02,23447.3,24514.62,21784.45,21541.85,20044.52,18685.11,18444.67,19328.69,20768.21,18052.09,18264.29
AprA,0,769.7543,0,684.692,0,738.2687,611.1977,881.6046,0,0,786.2066,1300.34,0,839.8758,1666.758,675.0556,0,0,747.136,582.4008,576.2232,898.4262,715.7785,0,726.7687,658.8542,969.718,720.3112,1038.068,1707.403,628.2776,604.4986,860.6271,624.9463,825.3567,847.6957,571.557,953.4331,692.6067,739.8804,1287.3,601.0637,598.1302,0,0,1587.319,1103.955,1050.98
Aps_apra,8177.742,7562.882,8656.5451,9149.4081,8552.151,8900.223,7628.316,8465.7815,9185.771,8351.953,8678.9037,10431.299,7624.69,8224.5415,9758.83,11898.3706,8099.737,7714.208,8151.3078,8532.5672,7627.14,8251.5806,7262.4007,8368.938,8944.9596,9341.8112,9690.1878,9267.5344,8679.0878,9623.1312,8627.0668,8989.001,9424.6237,8171.214,8394.013,7545.423,8312.27,7786.085,8672.246,9281.8853,8744.9647,9060.7989,7780.279,9602.5914,7701.304,9922.077,9320.554,9250.7327
Ara,61149.8786,63534.6882,65631.0115,63285.838,61874.3677,64180.8582,64661.6592,52952.7701,56814.963,59846.7832,60976.26,76792.8908,61414.8497,64394.9065,66832.0093,59456.937,55295.6718,57125.5328,64562.4078,61975.608,60473.3306,59720.9355,59825.7582,56759.0047,52031.8775,53720.8391,66850.8572,58358.9279,58856.5257,64286.2254,58037.2456,54889.4583,50727.1171,61738.4333,79996.7877,59129.519,58723.1272,59066.4143,80463.277,61654.4663,63091.8536,58294.1857,55956.572,54101.613,54488.603,61823.4505,54861.0614,53087.3668
ArcB,4852.349,4592.3241,4842.965,4474.772,4057.0584,4716.444,4671.587,3908.0421,2933.718,3686.3004,3498.797,3444.898,3138.8332,4099.7095,4123.6264,3475.0916,2702.758,3117.5058,3859.9222,3232.5357,2686.6587,3726.8543,3711.969,2485.564,3862.1683,2805.457,3833.7778,2645.287,2534.734,3702.5355,3028.6573,3169.5758,3028.6949,4667.0366,5372.3373,4573.0497,3127.4408,4368.196,4761.0867,4118.466,3848.2876,4177.2179,2985.2084,3535.1014,2854.523,4121.6724,3700.8022,3826.5108
Arra,7970.232,7231.044,6743.996,6438.817,6033.022,6960.668,7544.202,7774.49,6531.285,8328.128,6376.296,8060.368,8684.246,7677.87,9352.418,9339.339,7288.819,7388.202,8699.589,7513.378,7768.924,8522.746,7251.475,6412.072,8938.072,7979.5116,9161.633,7752.357,7990.716,9368.103,7379.336,9207.96,11846.303,8472.993,7794.306,7797.108,8563.951,7112.038,6826.045,8734.298,10121.069,7921.271,9597.19,9658.965,12647.838,9451.622,8111.81,8885.91
ArsB,123112.388,127867.5842,129154.0572,123033.9333,119615.3059,124418.687,131133.562,110408.8245,103633.95,121489.6158,116335.6423,121183.128,120820.6061,117621.162,122717.6571,117083.232,105464.6888,117282.7668,122907.4387,124642.758,116391.355,114236.281,116385.6887,105871.2292,107959.8095,107065.514,119467.4888,103264.5759,103085.3989,109060.556,106648.4716,110613.9333,103149.2382,133080.7717,126168.228,125742.0614,112800.355,134317.286,124925.575,125708.0554,114204.7588,110962.9342,106438.6228,108218.2646,100841.06,115285.0006,112381.666,108317.8189
Arsc,37269.1539,38669.7726,36685.2177,37478.8716,37752.6782,38821.4293,35232.9211,44741.5782,32084.164,35523.3254,32593.5109,32275.7694,33824.0285,38816.7682,35175.3146,45764.9532,30924.7563,35202.5344,36421.9342,38230.0354,37858.3824,37314.8147,35999.4788,32307.9082,37839.1999,38646.754,38765.7011,35786.7403,38122.8732,40166.8191,38675.2387,39600.9159,40456.8745,38504.2117,36813.8197,36796.3062,37466.525,39726.41,36221.7625,37036.0502,37719.0985,37169.714,37069.305,33692.8141,34920.6621,38101.0888,37210.3429,39172.2907
Arsm,27112.77,29783.74,28891.52,28748.13,29733.85,28588.02,30472.74,24281.47,25775.18,30632.38,31775.61,30983.94,29543.5,28155.6,32250.23,14861.48,30999.25,31321.36,32756.96,32753.56,32206.37,30897.73,30345.93,31050.04,28564.39,26238.88,30188.44,31636.57,28991.81,29744.41,28981.98,27801.91,24439.89,29056.86,28181.44,27998.9,31421.02,30964.87,29012.77,29087.1,28200.61,25728.77,28377.07,30062.3,28035.32,30611.17,30617.03,29935.95
Arylest,8835.1518,8246.356,7817.131,9243.201,9739.2123,8512.2679,8622.6462,10348.2067,7551.787,8519.025,7240.408,8155.794,8625.9225,8332.795,9840.158,10323.261,7387.437,8174.82,8769.6759,8681.9001,8386.1805,8361.391,7269.244,8018.543,9579.1052,9315.7009,8194.9654,9664.7945,9371.384,9335.815,8419.5804,9328.2239,9483.1366,8433.742,8169.871,7978.541,10257.2213,9198.0942,7625.374,9340.4843,7834.7225,8978.7,7712.697,7562.958,7862.069,8657.6077,9050.5801,8665.9361
Atza,27865.8116,29925.9889,29332.4866,28347.6394,30572.6101,29010.088,28299.2281,26977.6114,29663.454,28319.6799,26762.9714,28015.984,36275.0376,27614.9732,28594.1833,30442.2541,34766.8702,33470.9994,33757.8305,34773.2928,38341.7126,33833.7284,33908.0756,36563.268,30991.8223,34909.4281,29547.363,34104.78,34304.3432,35312.371,32648.7462,34473.8097,31168.3143,28396.0376,25760.8698,27957.0994,32711.6374,29657.6671,26714.9087,31208.877,29129.5057,28865.0156,33605.5492,30441.755,29820.568,30569.0073,28434.9977,30944.7038
Atzb,856.9034,803.4147,1608.2046,1372.8649,1557.5581,1495.2173,1680.3055,1138.298,0,1485.7555,0,1200.2171,1564.0874,812.4609,1328.3412,1777.6151,780.5182,1888.959,1548.8022,1508.7892,1775.1346,1587.2152,726.0508,893.5725,1735.0555,1225.828,1574.884,1587.7397,852.466,1701.8348,1897.7367,902.4165,1658.5079,933.0159,1545.6202,1536.9689,1695.6999,887.4339,1508.851,1735.3853,1505.735,2163.3229,1609.7776,1003.328,1063.315,1511.1001,1681.6155,1039.164
Atzc,2839.912,2800.983,2511.304,2896.685,2500.799,3201.231,2283.556,4397.504,3528.492,2987.379,2513.83,3151.884,2774.955,2817.966,2709.14,4029.3401,2916.819,3148.49,2117.484,3696.21,3100.587,3810.308,2864.286,3280.371,3745.854,3599.699,3071.776,2969.517,3634.447,3294.392,3046.906,3571.871,4179.274,2880.882,2759.418,2934.999,3524.147,2828.399,2266.319,2770.765,3574.451,3372.2,3579.795,3034.336,3900.488,3297.136,3184.891,3833.73
Atzd,10377.0671,12900.269,12191.398,10286.162,10255.7813,10984.4077,12918.8132,8975.365,7612.055,10955.432,12732.7059,11046.516,12774.9425,11313.6449,11754.1005,7613.0977,10626.75,11864.6993,11733.6792,12571.739,10655.8049,11156.5994,12050.8045,11070.3617,9587.3423,7260.822,9846.5245,9367.5508,8728.7126,8498.6753,8657.1325,10616.3519,10608.0227,11169.119,11453.4748,11255.7611,10597.459,12683.8282,12395.292,11679.2213,10541.7096,10360.5645,10664.5009,9412.957,7670.647,11366.7036,9216.5475,8923.2715
AVRk1,854.566,593.8834,607.1931,758.681,712.7136,0,0,813.1686,0,666.7077,0,0,783.6914,714.5935,881.5353,1147.476,0,832.5209,753.7341,666.8342,629.8062,737.5197,695.4221,0,866.4923,732.2291,0,787.9263,794.0025,0,856.6386,834.0933,971.4628,761.2589,671.8433,0,703.2629,778.2882,0,833.5215,610.5902,891.3712,795.2555,0,841.2447,750.8482,747.0509,947.0003
Axe,7495.476,7248.315,7660.1,7993.365,6985.988,7438.955,7734.098,7119.575,5867.907,6896.18,8495.63,7422.953,6889.088,8620.686,7219.689,6076.95,5614.557,6145.898,6144.18,6440.915,6157.146,6328.955,5939.14,5547.39,6436.456,5483.927,6051.233,5559.63,5248.002,5201.826,6002.271,6032.949,6093.483,8229.463,9175.818,8285.15,6190.733,7838.162,8127.744,8039.018,7182.447,5661.742,5784.395,6245.213,5192.428,6421.165,7322.655,5798.851
B_lactamase,22116.50749,25378.71121,20747.24324,23060.45991,30758.66922,20260.05309,20669.33506,22336.45467,24459.20087,24668.49173,22717.94933,28535.77372,31145.19852,24153.31937,21957.85594,30802.99696,24014.27941,24431.07319,21081.74678,27011.59003,25014.35307,23274.93645,24726.20612,26746.96918,22359.50927,22221.93068,20544.75264,23906.62438,24166.85618,20302.56187,23667.85493,22830.26269,22189.66801,21753.84321,21374.17126,23840.7352,30921.73828,20863.20231,22310.50709,21986.30547,19341.39674,23269.09584,24270.07391,21882.2043,24754.20459,21489.68153,23080.88645,23099.35102
B_lactamase_A,13282.04424,13385.10831,13267.7782,13383.32885,13495.38053,12900.22965,12000.09286,13469.0764,14564.36792,12993.80517,12050.47029,13952.36593,16014.36158,13559.91825,13935.66739,15530.13531,16494.02432,15260.25918,14069.33933,15411.16672,16059.40577,14474.31016,16625.63547,15720.52982,16368.15346,16370.66055,12460.12041,15492.56171,15750.28426,15164.08143,14701.45944,14541.30309,15512.52022,13239.11318,12478.24595,13020.62533,13667.83267,13547.68902,13990.15069,13320.1913,14020.55955,14302.51625,14689.25109,14435.21588,14407.39752,13888.56704,12974.70659,14095.59633
B_lactamase_C,18564.28921,19632.38104,18520.59177,20754.6468,21337.96778,18396.68083,17634.68356,23189.58123,17105.02574,19803.20211,16457.85764,19462.783,20311.58211,19576.55544,18897.25616,23065.57459,22697.95744,22573.71156,21411.47493,21800.90552,22286.24527,21801.45188,20419.58539,21107.51029,23491.57549,24547.69465,19775.05039,20290.05339,22672.75503,21810.56172,22131.46327,23935.41388,31768.16512,23848.38417,20483.76135,23108.99757,22387.9234,21459.21014,19054.5803,22876.08514,20421.09205,24349.29611,25302.01253,23528.28458,26246.3907,25515.51393,23224.85018,27442.58577
Badh,8616.4349,8242.1829,8895.327,8717.675,8132.5788,8851.2273,8118.0907,11203.106,7388.083,8771.0219,8647.478,8279.9801,8987.6836,7516.4609,10558.658,8044.6997,8789.702,9158.99,9364.1504,10150.7372,9595.531,10389.735,9157.124,9017.2336,10769.162,9923.936,9576.501,12713.901,9097.3433,11211.104,10909.434,10664.596,11503.384,9511.6218,8701.5123,9502.031,11266.562,10473.41,9683.136,9799.217,9572.535,10701.6805,9896.2718,12119.611,10236.574,11558.171,9572.996,11143.214
BchG,30343.071,30312.6698,30291.3,29127.7627,27382.7947,29993.857,32540.508,23643.567,27017.226,27936.698,28260.966,29069.805,26578.8216,28790.211,29896.836,23339.4742,25054.29,25409.1825,28091.004,25593.927,26441.789,27389.104,26916.811,26415.429,25078.265,23818.3853,29963.103,26126.6828,22298.295,25992.885,23502.3706,25426.054,21318.05,27168.477,29492.246,27082.297,25226.631,29244.72,29584.8857,28700.4616,28889.377,25915.6629,25688.534,26584.8994,26378.769,27252.698,26017.557,26415.869
Ben_bcla,31569.792,31923.424,30660.476,31359.888,31313.337,30462.249,29818.33,29690.624,32059.258,30775.52,29076.5533,31770.645,32616.265,32068.836,31833.4612,28289.6426,31416.1865,30764.982,30365.868,31582.4594,34763.9155,30162.7924,32542.332,31366.926,30155.836,33830.109,28157.9719,30609.0569,32314.885,33105.0019,30308.3501,33482.795,34477.516,30839.712,29679.028,29879.778,32240.147,29007.1557,30734.8927,32386.7873,30249.94,33103.067,31983.953,30564.192,30074.1714,31854.7541,31328.8955,32733.7834
Bfr,7233.0509,7167.971,6819.33,6290.9427,6950.5219,8278.353,7283.407,7767.985,7203.6451,7021.7227,8188.9455,7979.7687,7266.0611,7964.005,7903.8542,5390.9097,6967.696,7233.913,9274.552,7772.71,7505.244,7864.317,7315.7868,8528.366,8732.694,8043.708,11809.607,10322.3786,9021.388,10953.6,8355.6476,9033.866,7100.109,7117.987,6727.6061,6904.1071,7093.082,7523.759,7854.5036,8272.459,8083.572,7171.407,8778.551,8721.558,8240.339,10003.276,11466.1867,9516.262
BglH,4718.378,4200.48,4552.136,4659.434,4393.726,5507.202,4684.603,4858.653,3211.898,5025.512,4741.338,4347.066,3727.129,5032.584,4861.323,4966.388,3828.928,3711.532,3569.894,3682.025,3276.315,3758.619,3126.829,3184.982,4978.524,3454.961,4056.6,3624.763,3536.532,3226.512,3906.852,3533.415,4833.433,5042.182,5783.295,4868.035,3188.677,5246.004,5422.605,4344.478,3715.661,4016.459,3219.319,3629.818,3532.68,4351.705,3974.995,3389.072
Bmo,4242.633,3499.936,3603.3,3398.124,4019.723,3944.11,3221.168,4076.113,3013.52,3812.676,1815.082,2800.226,3718.122,3658.517,3031.744,6481.061,2925.006,3953.08,3967.926,4121.558,4279.829,3951.936,2183.93,2643.995,3163.885,3214.926,4087.197,3529.975,4083.979,4312.038,3383.448,3702.649,4224.876,3569.893,3381.057,3504.564,4062.041,3156.876,2744.378,4081.718,3272.468,3632.298,3635.562,2761.177,3978.501,3880.754,4002.544,4240.304
Bph,2612.972,2090.9469,2256.8595,2508.375,2062.7807,2338.138,2286.77,1919.5952,0,1927.8234,898.2718,1701.9364,1771.6853,1092.309,2733.478,2023.3559,0,3069.4997,1453.0737,1789.2379,1861.2588,1887.8562,2913.9667,1775.4522,2577.803,892.0635,5095.906,3457.212,894.5664,2358.8255,2528.0488,2724.6308,1252.6921,2380.5789,2205.5268,2212.8737,1836.8331,3330.742,3761.143,2633.159,2069.8643,1505.5487,1916.9278,2129.6945,0,2767.159,4559.578,2318.535
BphF1,3603.0323,4309.6679,4660.8303,4463.3809,4291.6119,4759.0153,4423.2783,5245.9047,2921.779,4972.5993,3841.8974,4822.3268,5196.0222,4078.5363,4523.3425,5761.9004,2745.927,4868.6887,5256.9189,4934.6907,5433.6617,5170.0021,5022.8018,3056.038,4226.9576,5038.7264,5055.1684,5301.8267,4980.4106,5493.771,4073.8433,4120.6172,6247.0702,5071.3077,4087.0769,4993.8565,5413.6804,4501.8793,4577.0147,4735.2613,6262.2644,5028.455,5342.7233,4477.322,3938.8002,5112.5128,5210.5489,5215.503
C_type_cytochrome_3,704.9747,650.7051,0,842.7564,730.8656,0,619.3949,826.0389,0,599.0322,748.5098,0,879.5431,0,786.5458,1151.353,794.3052,860.3837,914.4884,1033.071,1033.075,859.9722,796.8215,1083.092,985.7724,1191.949,862.9045,1029.367,937.3675,998.8658,1262.08,995.5321,1098.617,777.4906,827.3505,703.4826,1049.204,670.9519,717.1449,791.3474,669.9411,1048.781,1061.1,817.6895,1063.549,790.2012,755.8603,911.3942
C_type_cytochrome_b,6836.705,7198.311,7623.187,7003.943,6286.954,6437.07,7411.891,5163.004,7445.396,7523.799,8385.742,7641.562,7875.414,6537.104,7521.318,7093.699,8251.507,7302.724,7460.29,7887.382,8131.825,7212.642,7307.081,8135.54,6279.276,5758.484,7059.62,6441.559,6255.251,6352.814,6482.043,6775.968,6409.103,6930.041,6753.888,6699.096,8518.848,6084.244,6937.025,7620.766,7577.733,8078.581,7236.513,7376.563,7552.429,6555.22,5965.231,6236.149
