Gene,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
Codh,40714.959,40487.146,38471.772,37392.124,38067.173,35397.772,35617.112,33832.468,34426.207,34399.342,34413.627,33871.799,34377.336,34349.823,32472.019,34177.594,32150.4572,34590.176,33598.37,36838.549,34174.664,34226.4835,32525.591,31405.407,34033.766,34302.656,34605.28,33641.317,32686.569,32787.1486,32881.2149,31060.424,32434.472,38052.221,33313.281,37660.953,38158.8044,33992.103,34887.378,33269.951,32874.412,37972.234,33397.1408,33271.2501,32801.7878,33030.312,31759.65,32185.94
CopA,201755.0279,205138.5634,196670.1221,202738.109,188732.8736,200905.155,203086.3803,180483.0399,195882.27,190866.8001,201240.8315,194576.7788,203261.2448,202598.4519,199534.8264,153619.1325,195692.4208,200542.6939,204400.3372,201732.3455,195440.0073,192270.7369,207426.4052,198830.4146,200087.5587,191521.5452,204019.6006,190375.511,184964.9028,197684.46,199699.4218,201358.6147,188602.5334,212166.7356,209085.7388,205043.0874,194049.2824,208701.9827,212776.484,207373.8477,211338.1395,199186.7331,198623.2021,200487.2406,194301.539,199329.6745,197953.3349,196966.8066
CorA,278736.6309,281997.7569,272225.3936,280204.4618,268396.3035,279356.2095,285682.6554,261684.1477,246629.254,265517.0944,263729.1387,256790.5018,267389.1274,268413.6695,272660.9529,229124.0786,249274.79,266201.0169,273803.4101,275107.5586,264867.6978,266949.7893,264083.3978,257188.1234,266207.3804,253178.0385,264682.3899,245882.4073,244715.882,254379.8031,253285.5354,258696.0379,246255.5254,293875.053,284536.5217,279064.8861,261380.8928,295679.7301,283173.7868,277501.6837,264211.7331,257626.5978,250672.7237,252375.8845,244225.738,256684.2745,257402.9767,249931.4002
CorC,7473.507,8026.968,7001.771,7546.339,7277.981,7464.056,6777.904,8898.368,7233.432,8423.501,6563.133,8014.06,8832.35,7462.464,8425.261,11486.333,7441.304,9124.023,9615.077,9032.227,8917.441,9715.172,6976.175,7134.988,9063.487,10492.802,9164.653,8358.229,9217.347,9161.865,8939.12,10920.584,9895.158,8004.911,7657.444,7925.597,9395.978,8398.683,7387.785,8893.836,9735.513,9673.666,10489.519,9256.88,9421.44,9683.997,9485.903,9751.976
CpxA,3843.6982,3973.8221,4363.17,3668.45,4075.563,4227.4588,4517.253,5418.094,3878.2103,4812.066,3689.2935,4119.9178,4430.753,3669.368,4056.9189,5265.993,3892.603,4258.147,4507.187,4900.202,4603.397,4177.198,3883.022,4138.5435,4850.329,4994.075,4942.439,4225.507,4473.019,3730.55,3759.583,4719.905,4472.378,4501.601,3856.815,3643.285,4171.358,3696.819,2514.021,3849.816,4289.338,3943.983,4471.358,3901.936,5374.137,4329.29,4030.009,4721.544
CpxR,17058.0995,15678.1581,14938.5118,14180.2377,15182.633,15784.6225,15459.4551,14835.862,14717.6388,13970.3446,13516.57,14104.919,15562.816,15280.0476,19588.3659,19347.288,15364.622,15075.2591,15909.7489,17542.2978,16114.245,17306.1974,19327.131,16602.002,19472.538,18113.724,16608.1218,18465.894,19515.712,20879.719,16564.496,16814.822,16987.732,14182.454,13276.9414,13768.5404,16503.9877,14605.3367,15748.8928,16399.308,17491.0947,17138.7129,17091.134,17482.011,17293.0317,18511.6061,21403.8644,17879.0738
Csa5,3807.918,3087.196,3092.692,3474.676,2878.564,3280.831,2476.505,4343.055,3057.966,3588.404,2495.93,2008.202,3180.63,2295.233,2453.219,5579.411,3724.791,3564.129,3296.607,3046.277,3160.639,2849.368,2723.812,4787.129,4228.12,4681.316,3789.675,3579.892,3826.324,3656.169,3468.608,4189.215,3493.652,3337.226,3575.514,3414.745,2748.847,3581.227,3201.597,3011.9,3628.461,3540.405,3390.475,3472.443,3180.318,1611.336,2988.477,3970.129
Csb1,1877.99,1742.486,1790.85,1880.495,1916.893,2004.051,1463.537,2432.559,1640.381,1674.973,1309.973,1275.176,2026.684,1487.654,1805.495,3057.368,2032.545,1771.028,1851.557,2100.262,1917.03,1878.136,1563.105,1221.038,2396.703,2080.257,1898.68,2017.636,1968.691,1975.333,2050.781,2056.109,2683.062,2009.748,2174.705,1745.13,1973.841,1944.555,1869.689,1889.972,1876.137,1968.18,2134.935,2086.889,2830.839,2051.434,2015.41,2213.999
Csb2,19744.346,21885.31,23355.05,19828.411,21137.61,20940.602,22290.22,19284.657,20232.31,21511.537,17701.621,19954.911,18592.704,19735.329,19544.154,17353.733,16520.193,20277.723,21244.513,21414.12,20126.967,20735.838,19510.584,14256.335,16763.129,19230.148,19189.688,17561.044,17389.489,18434.046,18018.652,17990.564,16675.723,22543.12,20999.938,22139.58,18481.819,21853.74,20654.305,18517.683,18721.826,18220.412,17806.109,18439.554,17606.524,17989.674,18901.29,17154.992
Csb3,2787.832,2411.61,2839.317,3880.285,2586.986,2999.777,2884.696,2441.324,1758.52,2279.83,4181.745,1902.682,2582.11,2325.15,2378.072,2767.952,1986.133,2546.013,2324.484,2445.66,2279.688,2233.91,2173.101,2124.439,2402.018,2091.403,2146.86,1978.483,2200.959,1946.448,2430.368,2068.6,2116.056,3087.28,3085.038,2979.187,2026.559,3050.237,3023.893,2558.908,2205.751,2342.141,2332.35,2082.658,2039.428,2191.065,2196.544,2007.603
Cse1,16184.6221,17562.6891,15939.3239,16002.751,16069.8106,15855.5044,15114.5154,16169.551,14200.6727,15812.7979,13712.024,21110.7013,15662.4951,16689.0091,16181.4771,16693.247,15250.5704,17423.7088,15896.3988,14918.5568,17518.4879,15519.5746,17025.7364,17186.7921,17255.361,17371.692,17763.456,18734.6,17757.437,17682.5328,18206.05,17935.119,16001.602,15675.0198,14331.5929,14638.6758,15596.2212,15898.2064,15544.5243,15800.4235,16092.171,16593.023,16371.2266,15801.289,15466.0601,14619.961,16618.32,16148.625
Cse2,4157.729,3892.8549,4008.034,4061.152,4068.361,3851.2844,3421.4534,4315.175,4132.197,4194.8945,3723.2703,3499.5633,4196.073,3566.0182,3470.0685,5740.863,3893.703,4341.357,4051.876,4226.311,4559.422,4568.681,3998.0471,4164.873,4340.601,4276.464,3639.7385,4395.292,4581.439,4486.501,4267.045,4888.311,4098.406,3926.0814,4043.853,4251.229,4455.67,4110.561,4033.798,4330.594,4270.848,4941.858,4650.385,4258.956,4260.326,4581,4417.237,4520.589
Csf2,2300.446,2606.59,2255.491,2187.751,2283.854,2883.149,2517.2,2672.684,1974.181,2108.047,2452.239,2077.592,2211.52,3051.288,2973.927,2754.667,1922.981,1643.371,1571.084,2046.265,1733.724,2281.338,1817.596,1922.553,2106.868,1826.047,1925.837,1598.523,1799.786,2853.856,1930.741,2147.608,2292.896,3046.033,2590.912,2727.446,1749.397,3068.461,2410.823,2373.966,2452.549,2143.711,2033.868,1853.679,1923.555,3266.941,2378.095,2289.784
CsiD,6033.591,6261.273,6472.161,6687.722,5553.341,6594.229,7968.196,5836.026,5861.941,6097.146,6199.443,6872.043,5933.696,6587.993,9137.463,4881.693,5906.718,5206.206,6067.155,7022.668,6059.095,6513.129,6662.861,6167.212,6897.764,5533.808,5443.424,7144.017,4632.251,6895.87,6610.471,5622.448,4910.352,6189.738,5872.699,5430.723,5444.488,6149.212,7590.857,6277.699,5564.694,5821.796,7553.732,5577.136,5062.594,7852.205,6186.405,5589.066
Csm4,18761.626,18687.781,17605.995,16371.933,15266.822,16876.866,20233.578,14559.084,17705.183,18640.925,22186.414,21979.038,16772.815,18562.652,19532.035,14315.499,19441.516,14861.93,14668.249,20903.618,16053.765,16745.994,17731.348,20017.388,11418.345,15115.393,16966.506,17322.889,14617.047,13768.344,14680.217,14264.451,5410.255,14366.527,15182.697,15996.164,14732.936,13780.665,17799.171,17760.275,16877.278,14711.033,13487.617,15928.129,16167.823,14911.007,17873.562,15346.428
